# use CTRL + F to search

Symbol: AGLD | Network: ETH | Withdrawal fee: 7.92
Symbol: BAND | Network: BNB | Withdrawal fee: 0.086
Symbol: BAND | Network: ETH | Withdrawal fee: 2.66
Symbol: SUN | Network: BSC | Withdrawal fee: 13
Symbol: SUN | Network: TRX | Withdrawal fee: 10
Symbol: ASTR | Network: ASTR | Withdrawal fee: 2
Symbol: TRXOLD | Network: BSC | Withdrawal fee: 1.33
Symbol: BTC | Network: BSC | Withdrawal fee: 0.0000039
Symbol: BTC | Network: BTC | Withdrawal fee: 0.0002
Symbol: BTC | Network: BNB | Withdrawal fee: 0.0000053
Symbol: BTC | Network: SEGWITBTC | Withdrawal fee: 0.0005
Symbol: BTC | Network: ETH | Withdrawal fee: 0.00017
Symbol: TWT | Network: BSC | Withdrawal fee: 0.067
Symbol: TWT | Network: BNB | Withdrawal fee: 0.13
Symbol: NKN | Network: ETH | Withdrawal fee: 40
Symbol: RSR | Network: ETH | Withdrawal fee: 1150
Symbol: UYU | Network: FIAT_MONEY | Withdrawal fee: 0
Symbol: ARB | Network: ARBITRUM | Withdrawal fee: 0.3
Symbol: ARB | Network: ETH | Withdrawal fee: 4.18
Symbol: IOTA | Network: BSC | Withdrawal fee: 0.37
Symbol: IOTA | Network: IOTA | Withdrawal fee: 0.5
Symbol: CVC | Network: ETH | Withdrawal fee: 45
Symbol: REEF | Network: BSC | Withdrawal fee: 27
Symbol: REEF | Network: REEF | Withdrawal fee: 10
Symbol: REEF | Network: ETH | Withdrawal fee: 1735
Symbol: OMR | Network: FIAT_MONEY | Withdrawal fee: 0
Symbol: KES | Network: FIAT_MONEY | Withdrawal fee: 0
Symbol: ARK | Network: ARK | Withdrawal fee: 0.2
Symbol: LOKA | Network: ETH | Withdrawal fee: 9.37
Symbol: CVP | Network: BSC | Withdrawal fee: 0.17
Symbol: CVP | Network: ETH | Withdrawal fee: 10
Symbol: KEY | Network: ETH | Withdrawal fee: 570
Symbol: BTS | Network: BTS | Withdrawal fee: 1
Symbol: ARS | Network: FIAT_MONEY | Withdrawal fee: 0
Symbol: CVX | Network: ETH | Withdrawal fee: 0.9
Symbol: ONE | Network: ONE | Withdrawal fee: 0.1
Symbol: ONE | Network: BNB | Withdrawal fee: 0
Symbol: LINKDOWN | Network: ETF | Withdrawal fee: 0
Symbol: ONG | Network: ONT | Withdrawal fee: 0.041
Symbol: ANKR | Network: BSC | Withdrawal fee: 2.18
Symbol: ANKR | Network: BNB | Withdrawal fee: 4.52
Symbol: ANKR | Network: ETH | Withdrawal fee: 140
Symbol: SUSHI | Network: BSC | Withdrawal fee: 0.071
Symbol: SUSHI | Network: BNB | Withdrawal fee: 0.14
Symbol: SUSHI | Network: ETH | Withdrawal fee: 4.44
Symbol: ALGO | Network: ALGO | Withdrawal fee: 0.008
Symbol: UZS | Network: FIAT_MONEY | Withdrawal fee: 0
Symbol: SC | Network: SC | Withdrawal fee: 0.1
Symbol: WBTC | Network: ETH | Withdrawal fee: 0.00017
Symbol: ONT | Network: BSC | Withdrawal fee: 0.35
Symbol: ONT | Network: ONT | Withdrawal fee: 1
Symbol: ONT | Network: BNB | Withdrawal fee: 0.65
Symbol: BTTC | Network: BSC | Withdrawal fee: 129810
Symbol: BTTC | Network: TRX | Withdrawal fee: 108500
Symbol: RUB | Network: FIAT_MONEY | Withdrawal fee: 0
Symbol: PIVX | Network: PIVX | Withdrawal fee: 0.2
Symbol: ASR | Network: BSC | Withdrawal fee: 0.02
Symbol: ASR | Network: CHZ | Withdrawal fee: 0
Symbol: FIRO | Network: BSC | Withdrawal fee: 0.037
Symbol: FIRO | Network: FIRO | Withdrawal fee: 0.02
Symbol: AST | Network: ETH | Withdrawal fee: 39
Symbol: MANA | Network: BSC | Withdrawal fee: 0.14
Symbol: MANA | Network: ETH | Withdrawal fee: 8.2
Symbol: DOTUP | Network: ETF | Withdrawal fee: 0
Symbol: ATA | Network: BSC | Withdrawal fee: 0.52
Symbol: ATA | Network: ETH | Withdrawal fee: 29
Symbol: DZD | Network: FIAT_MONEY | Withdrawal fee: 0
Symbol: NMR | Network: ETH | Withdrawal fee: 0.27
Symbol: MKR | Network: BSC | Withdrawal fee: 0.00012
Symbol: MKR | Network: BNB | Withdrawal fee: 0.00022
Symbol: MKR | Network: ETH | Withdrawal fee: 0.0068
Symbol: DODO | Network: BSC | Withdrawal fee: 0.35
Symbol: DODO | Network: ETH | Withdrawal fee: 27
Symbol: LIT | Network: BSC | Withdrawal fee: 0.071
Symbol: LIT | Network: ETH | Withdrawal fee: 4.49
Symbol: KGS | Network: FIAT_MONEY | Withdrawal fee: 0
Symbol: ICP | Network: ICP | Withdrawal fee: 0.0003
Symbol: ZEC | Network: BSC | Withdrawal fee: 0.0021
Symbol: ZEC | Network: ZEC | Withdrawal fee: 0.001
Symbol: ZEC | Network: BNB | Withdrawal fee: 0.004
Symbol: ATM | Network: BSC | Withdrawal fee: 0.02
Symbol: ATM | Network: CHZ | Withdrawal fee: 0
Symbol: JEX | Network: ETH | Withdrawal fee: 10.85
Symbol: XAF | Network: FIAT_MONEY | Withdrawal fee: 0
Symbol: ICX | Network: ICX | Withdrawal fee: 0.02
Symbol: POLYX | Network: POLYX | Withdrawal fee: 5
Symbol: LOOM | Network: BSC | Withdrawal fee: 1.58
Symbol: LOOM | Network: ETH | Withdrawal fee: 78
Symbol: ZEN | Network: ZEN | Withdrawal fee: 0.002
Symbol: KP3R | Network: ETH | Withdrawal fee: 0.062
Symbol: DOGE | Network: BSC | Withdrawal fee: 1.1
Symbol: DOGE | Network: DOGE | Withdrawal fee: 4
Symbol: DOGE | Network: BNB | Withdrawal fee: 1.92
Symbol: DUSK | Network: BSC | Withdrawal fee: 0.43
Symbol: DUSK | Network: BNB | Withdrawal fee: 0.9
Symbol: DUSK | Network: ETH | Withdrawal fee: 27
Symbol: ALPHA | Network: BSC | Withdrawal fee: 0.67
Symbol: ALPHA | Network: ETH | Withdrawal fee: 42
Symbol: SXP | Network: BSC | Withdrawal fee: 0.28
Symbol: SXP | Network: ETH | Withdrawal fee: 8.59
Symbol: HBAR | Network: HBAR | Withdrawal fee: 0.8
Symbol: RVN | Network: RVN | Withdrawal fee: 1
Symbol: TZS | Network: FIAT_MONEY | Withdrawal fee: 0
Symbol: MLN | Network: ETH | Withdrawal fee: 0.01
Symbol: AUD | Network: FIAT_MONEY | Withdrawal fee: 0
Symbol: KHR | Network: FIAT_MONEY | Withdrawal fee: 0
Symbol: IDR | Network: FIAT_MONEY | Withdrawal fee: 0
Symbol: CTSI | Network: BSC | Withdrawal fee: 0.54
Symbol: CTSI | Network: ETH | Withdrawal fee: 31
Symbol: KAVA | Network: KAVA | Withdrawal fee: 0.01
Symbol: KAVA | Network: BNB | Withdrawal fee: 0.18
Symbol: C98 | Network: BSC | Withdrawal fee: 0.33
Symbol: C98 | Network: ETH | Withdrawal fee: 18
Symbol: OSMO | Network: OSMO | Withdrawal fee: 0.001
Symbol: PSG | Network: BSC | Withdrawal fee: 0.01
Symbol: PSG | Network: CHZ | Withdrawal fee: 0
Symbol: SYN | Network: BSC | Withdrawal fee: 0.07
Symbol: SYN | Network: AVAXC | Withdrawal fee: 1.67
Symbol: SYN | Network: ARBITRUM | Withdrawal fee: 0.14
Symbol: SYN | Network: ETH | Withdrawal fee: 6.18
Symbol: SYN | Network: FTM | Withdrawal fee: 1.67
Symbol: SYN | Network: OPTIMISM | Withdrawal fee: 0.3
Symbol: SYN | Network: MATIC | Withdrawal fee: 0.27
Symbol: MMK | Network: FIAT_MONEY | Withdrawal fee: 0
Symbol: VIDT | Network: BSC | Withdrawal fee: 2.16
Symbol: VIDT | Network: ETH | Withdrawal fee: 131
Symbol: NOK | Network: FIAT_MONEY | Withdrawal fee: 0
Symbol: AVA | Network: BSC | Withdrawal fee: 0.12
Symbol: AVA | Network: BNB | Withdrawal fee: 0.25
Symbol: AVA | Network: ETH | Withdrawal fee: 7.9
Symbol: SYS | Network: SYS | Withdrawal fee: 1
Symbol: COCOS | Network: BSC | Withdrawal fee: 0.039
Symbol: COCOS | Network: BNB | Withdrawal fee: 0.1
Symbol: COCOS | Network: ETH | Withdrawal fee: 3.25
Symbol: STRAX | Network: STRAX | Withdrawal fee: 0.1
Symbol: GAL | Network: BSC | Withdrawal fee: 0.047
Symbol: GAL | Network: ETH | Withdrawal fee: 2.42
Symbol: EOSUP | Network: ETF | Withdrawal fee: 0
Symbol: CZK | Network: FIAT_MONEY | Withdrawal fee: 0
Symbol: GAS | Network: NEO3 | Withdrawal fee: 0.05
Symbol: GAS | Network: NEO | Withdrawal fee: 0.005
Symbol: AAVEDOWN | Network: ETF | Withdrawal fee: 0
Symbol: THETA | Network: THETA | Withdrawal fee: 0.12
Symbol: BCHUP | Network: ETF | Withdrawal fee: 0
Symbol: WAN | Network: WAN | Withdrawal fee: 0.1
Symbol: ORN | Network: BSC | Withdrawal fee: 0.084
Symbol: ORN | Network: ETH | Withdrawal fee: 5.44
Symbol: PERL | Network: BSC | Withdrawal fee: 3.77
Symbol: PERL | Network: ETH | Withdrawal fee: 155
Symbol: XLMDOWN | Network: ETF | Withdrawal fee: 0
Symbol: NEXO | Network: ETH | Withdrawal fee: 7.14
Symbol: NEXO | Network: MATIC | Withdrawal fee: 0.32
Symbol: MASK | Network: BSC | Withdrawal fee: 0.024
Symbol: MASK | Network: ETH | Withdrawal fee: 0.91
Symbol: AAVE | Network: BSC | Withdrawal fee: 0.0011
Symbol: AAVE | Network: BNB | Withdrawal fee: 0.002
Symbol: AAVE | Network: ETH | Withdrawal fee: 0.063
Symbol: MNT | Network: FIAT_MONEY | Withdrawal fee: 0
Symbol: GBP | Network: FIAT_MONEY | Withdrawal fee: 0
Symbol: PERP | Network: BSC | Withdrawal fee: 0.095
Symbol: PERP | Network: ETH | Withdrawal fee: 6.23
Symbol: BYN | Network: FIAT_MONEY | Withdrawal fee: 0
Symbol: 1INCHUP | Network: ETF | Withdrawal fee: 0
Symbol: SXPUP | Network: ETF | Withdrawal fee: 0
Symbol: YFIDOWN | Network: ETF | Withdrawal fee: 0
Symbol: BOND | Network: ETH | Withdrawal fee: 0.4
Symbol: YFI | Network: BSC | Withdrawal fee: 0.0000098
Symbol: YFI | Network: BNB | Withdrawal fee: 0.000017
Symbol: YFI | Network: ETH | Withdrawal fee: 0.00053
Symbol: MOB | Network: MOB | Withdrawal fee: 0.2
Symbol: LQTY | Network: ETH | Withdrawal fee: 2.38
Symbol: BICO | Network: ETH | Withdrawal fee: 12
Symbol: XEC | Network: BSC | Withdrawal fee: 2617
Symbol: XEC | Network: XEC | Withdrawal fee: 1000
Symbol: YGG | Network: BSC | Withdrawal fee: 0.29
Symbol: YGG | Network: ETH | Withdrawal fee: 18
Symbol: PEOPLE | Network: BSC | Withdrawal fee: 3.42
Symbol: PEOPLE | Network: ETH | Withdrawal fee: 209
Symbol: AXS | Network: BSC | Withdrawal fee: 0.0092
Symbol: AXS | Network: ETH | Withdrawal fee: 0.58
Symbol: AXS | Network: RON | Withdrawal fee: 0.005
Symbol: ZIL | Network: BSC | Withdrawal fee: 2.84
Symbol: ZIL | Network: ZIL | Withdrawal fee: 0.2
Symbol: VAI | Network: BSC | Withdrawal fee: 0.8
Symbol: XEM | Network: XEM | Withdrawal fee: 4
Symbol: CTXC | Network: CTXC | Withdrawal fee: 0.1
Symbol: CTXC | Network: ETH | Withdrawal fee: 21
Symbol: KEYFI | Network: ETH | Withdrawal fee: 17
Symbol: XTZUP | Network: ETF | Withdrawal fee: 0
Symbol: BIDR | Network: BSC | Withdrawal fee: 1392
Symbol: BIDR | Network: BNB | Withdrawal fee: 2376
Symbol: AAVEUP | Network: ETF | Withdrawal fee: 0
Symbol: SUSHIDOWN | Network: ETF | Withdrawal fee: 0
Symbol: COMP | Network: BSC | Withdrawal fee: 0.0018
Symbol: COMP | Network: BNB | Withdrawal fee: 0.0037
Symbol: COMP | Network: ETH | Withdrawal fee: 0.12
Symbol: HFT | Network: BSC | Withdrawal fee: 0.13
Symbol: HFT | Network: ETH | Withdrawal fee: 8.18
Symbol: OOKI | Network: ETH | Withdrawal fee: 1190
Symbol: RUNE | Network: RUNE | Withdrawal fee: 0.025
Symbol: FORTH | Network: ETH | Withdrawal fee: 1.31
Symbol: KMD | Network: BSC | Withdrawal fee: 0.31
Symbol: KMD | Network: KMD | Withdrawal fee: 0.002
Symbol: GHST | Network: ETH | Withdrawal fee: 4.68
Symbol: GHST | Network: MATIC | Withdrawal fee: 0.21
Symbol: ALPINE | Network: BSC | Withdrawal fee: 0.028
Symbol: LEVER | Network: ETH | Withdrawal fee: 2286
Symbol: IDEX | Network: BSC | Withdrawal fee: 1.49
Symbol: IDEX | Network: ETH | Withdrawal fee: 90
Symbol: BNBDOWN | Network: ETF | Withdrawal fee: 0
Symbol: GEL | Network: FIAT_MONEY | Withdrawal fee: 0
Symbol: DEXE | Network: BSC | Withdrawal fee: 0.03
Symbol: DEXE | Network: ETH | Withdrawal fee: 1.74
Symbol: AVAX | Network: BSC | Withdrawal fee: 0.0051
Symbol: AVAX | Network: AVAX | Withdrawal fee: 0.008
Symbol: AVAX | Network: AVAXC | Withdrawal fee: 0.008
Symbol: UAH | Network: FIAT_MONEY | Withdrawal fee: 0
Symbol: KNC | Network: BSC | Withdrawal fee: 0.11
Symbol: KNC | Network: ETH | Withdrawal fee: 4
Symbol: PROS | Network: BSC | Withdrawal fee: 0.14
Symbol: PROS | Network: ETH | Withdrawal fee: 9.61
Symbol: PROM | Network: BSC | Withdrawal fee: 0.017
Symbol: PROM | Network: ETH | Withdrawal fee: 0.99
Symbol: BTCUP | Network: ETF | Withdrawal fee: 0
Symbol: BGBP | Network: ETH | Withdrawal fee: 2.81
Symbol: LPT | Network: ETH | Withdrawal fee: 0.78
Symbol: HIVE | Network: HIVE | Withdrawal fee: 0.01
Symbol: GFT | Network: BSC | Withdrawal fee: 1.16
Symbol: BIFI | Network: BSC | Withdrawal fee: 0.0002
Symbol: BIFI | Network: BNB | Withdrawal fee: 0.00031
Symbol: BIFI | Network: FTM | Withdrawal fee: 0.00014
Symbol: RDNT | Network: BSC | Withdrawal fee: 0.17
Symbol: RDNT | Network: ARBITRUM | Withdrawal fee: 0.3
Symbol: PORTO | Network: BSC | Withdrawal fee: 0.033
Symbol: PYR | Network: ETH | Withdrawal fee: 1.27
Symbol: PYR | Network: MATIC | Withdrawal fee: 0.056
Symbol: WAXP | Network: ETH | Withdrawal fee: 68
Symbol: WAXP | Network: WAX | Withdrawal fee: 2
Symbol: DAI | Network: BSC | Withdrawal fee: 0.8
Symbol: DAI | Network: BNB | Withdrawal fee: 1
Symbol: DAI | Network: ETH | Withdrawal fee: 4
Symbol: DAI | Network: MATIC | Withdrawal fee: 1
Symbol: YFIUP | Network: ETF | Withdrawal fee: 0
Symbol: DAR | Network: BSC | Withdrawal fee: 0.43
Symbol: DAR | Network: ETH | Withdrawal fee: 27
Symbol: FET | Network: BSC | Withdrawal fee: 0.21
Symbol: FET | Network: FET | Withdrawal fee: 0.5
Symbol: FET | Network: ETH | Withdrawal fee: 14
Symbol: LRC | Network: BSC | Withdrawal fee: 0.25
Symbol: LRC | Network: ETH | Withdrawal fee: 14
Symbol: VET | Network: BSC | Withdrawal fee: 3.3
Symbol: VET | Network: VET | Withdrawal fee: 20
Symbol: MTL | Network: ETH | Withdrawal fee: 3.79
Symbol: ALPACA | Network: BSC | Withdrawal fee: 0.28
Symbol: ALPACA | Network: FTM | Withdrawal fee: 0.12
Symbol: USDT | Network: BSC | Withdrawal fee: 0.29
Symbol: USDT | Network: EOS | Withdrawal fee: 1
Symbol: USDT | Network: NEAR | Withdrawal fee: 1
Symbol: USDT | Network: AVAXC | Withdrawal fee: 1
Symbol: USDT | Network: BNB | Withdrawal fee: 0.8
Symbol: USDT | Network: ETH | Withdrawal fee: 4.5
Symbol: USDT | Network: MATIC | Withdrawal fee: 0.22
Symbol: USDT | Network: SOL | Withdrawal fee: 1
Symbol: USDT | Network: XTZ | Withdrawal fee: 1
Symbol: USDT | Network: TRX | Withdrawal fee: 1
Symbol: OXT | Network: ETH | Withdrawal fee: 55
Symbol: USDP | Network: BSC | Withdrawal fee: 0.8
Symbol: USDP | Network: ETH | Withdrawal fee: 5
Symbol: DASH | Network: DASH | Withdrawal fee: 0.0016
Symbol: NVT | Network: NULS | Withdrawal fee: 0.1
Symbol: ILV | Network: BSC | Withdrawal fee: 0.0012
Symbol: ILV | Network: ETH | Withdrawal fee: 0.084
Symbol: GHS | Network: FIAT_MONEY | Withdrawal fee: 0
Symbol: JOD | Network: FIAT_MONEY | Withdrawal fee: 0
Symbol: HKD | Network: FIAT_MONEY | Withdrawal fee: 0
Symbol: JOE | Network: AVAXC | Withdrawal fee: 0.1
Symbol: JOE | Network: ARBITRUM | Withdrawal fee: 1
Symbol: LSK | Network: LSK | Withdrawal fee: 0.1
Symbol: CAD | Network: FIAT_MONEY | Withdrawal fee: 0
Symbol: CAN | Network: BNB | Withdrawal fee: 5
Symbol: CAN | Network: ETH | Withdrawal fee: 5
Symbol: DCR | Network: DCR | Withdrawal fee: 0.01
Symbol: CREAM | Network: BSC | Withdrawal fee: 0.0072
Symbol: CREAM | Network: ETH | Withdrawal fee: 0.36
Symbol: DATA | Network: BSC | Withdrawal fee: 2.2
Symbol: DATA | Network: ETH | Withdrawal fee: 128
Symbol: DATA | Network: MATIC | Withdrawal fee: 5.69
Symbol: IMX | Network: ETH | Withdrawal fee: 4.32
Symbol: FILUP | Network: ETF | Withdrawal fee: 0
Symbol: UNIUP | Network: ETF | Withdrawal fee: 0
Symbol: USDC | Network: BSC | Withdrawal fee: 0.145
Symbol: USDC | Network: AVAXC | Withdrawal fee: 1
Symbol: USDC | Network: ALGO | Withdrawal fee: 1
Symbol: USDC | Network: BNB | Withdrawal fee: 0.8
Symbol: USDC | Network: ETH | Withdrawal fee: 4.5
Symbol: USDC | Network: MATIC | Withdrawal fee: 1
Symbol: USDC | Network: RON | Withdrawal fee: 1
Symbol: USDC | Network: SOL | Withdrawal fee: 1
Symbol: USDC | Network: XLM | Withdrawal fee: 1
Symbol: USDC | Network: TRX | Withdrawal fee: 1
Symbol: LTC | Network: BSC | Withdrawal fee: 0.00097
Symbol: LTC | Network: LTC | Withdrawal fee: 0.001
Symbol: LTC | Network: BNB | Withdrawal fee: 0.0017
Symbol: WIN | Network: BSC | Withdrawal fee: 904
Symbol: WIN | Network: BNB | Withdrawal fee: 1777
Symbol: WIN | Network: TRX | Withdrawal fee: 723
Symbol: LTCUP | Network: ETF | Withdrawal fee: 0
Symbol: INJ | Network: BSC | Withdrawal fee: 0.025
Symbol: INJ | Network: INJ | Withdrawal fee: 0.01
Symbol: INJ | Network: BNB | Withdrawal fee: 0.024
Symbol: TCT | Network: BSC | Withdrawal fee: 45
Symbol: TCT | Network: BNB | Withdrawal fee: 148
Symbol: TCT | Network: ETH | Withdrawal fee: 4609
Symbol: SAR | Network: FIAT_MONEY | Withdrawal fee: 0
Symbol: PARA | Network: PARA | Withdrawal fee: 10
Symbol: LTO | Network: BSC | Withdrawal fee: 0.75
Symbol: LTO | Network: LTO | Withdrawal fee: 5
Symbol: LTO | Network: BNB | Withdrawal fee: 1.48
Symbol: LTO | Network: ETH | Withdrawal fee: 46
Symbol: VGX | Network: ETH | Withdrawal fee: 14
Symbol: EFI | Network: EFI | Withdrawal fee: 0
Symbol: EFI | Network: ETH | Withdrawal fee: 61
Symbol: DYDX | Network: ETH | Withdrawal fee: 2.02
Symbol: AGIX | Network: ETH | Withdrawal fee: 12
Symbol: INR | Network: FIAT_MONEY | Withdrawal fee: 0
Symbol: POND | Network: BSC | Withdrawal fee: 7.64
Symbol: POND | Network: ARBITRUM | Withdrawal fee: 1
Symbol: POND | Network: ETH | Withdrawal fee: 486
Symbol: JPY | Network: FIAT_MONEY | Withdrawal fee: 0
Symbol: LINA | Network: BSC | Withdrawal fee: 8.65
Symbol: LINA | Network: ETH | Withdrawal fee: 359
Symbol: XLM | Network: BSC | Withdrawal fee: 1.04
Symbol: XLM | Network: XLM | Withdrawal fee: 0.02
Symbol: LINK | Network: BSC | Withdrawal fee: 0.013
Symbol: LINK | Network: BNB | Withdrawal fee: 0.002
Symbol: LINK | Network: ETH | Withdrawal fee: 0.69
Symbol: QTUM | Network: QTUM | Withdrawal fee: 0.01
Symbol: FILDOWN | Network: ETF | Withdrawal fee: 0
Symbol: SUPER | Network: BSC | Withdrawal fee: 0.6
Symbol: SUPER | Network: ETH | Withdrawal fee: 35
Symbol: UFT | Network: BSC | Withdrawal fee: 0.22
Symbol: UFT | Network: ETH | Withdrawal fee: 11
Symbol: POLS | Network: BSC | Withdrawal fee: 0.17
Symbol: POLS | Network: ETH | Withdrawal fee: 11
Symbol: KSM | Network: BSC | Withdrawal fee: 0.0023
Symbol: KSM | Network: KSM | Withdrawal fee: 0.01
Symbol: FIL | Network: BSC | Withdrawal fee: 0.013
Symbol: FIL | Network: FIL | Withdrawal fee: 0.001
Symbol: FIL | Network: BNB | Withdrawal fee: 0.027
Symbol: FIL | Network: ETH | Withdrawal fee: 0.83
Symbol: STMX | Network: ETH | Withdrawal fee: 870
Symbol: RNDR | Network: ETH | Withdrawal fee: 3.13
Symbol: BAL | Network: BSC | Withdrawal fee: 0.013
Symbol: BAL | Network: ETH | Withdrawal fee: 0.72
Symbol: FIO | Network: FIO | Withdrawal fee: 5
Symbol: GALA | Network: ETH | Withdrawal fee: 114
Symbol: VIB | Network: ETH | Withdrawal fee: 54
Symbol: EGP | Network: FIAT_MONEY | Withdrawal fee: 0
Symbol: FIS | Network: BSC | Withdrawal fee: 0.11
Symbol: FIS | Network: ETH | Withdrawal fee: 9.31
Symbol: BAR | Network: CHZ | Withdrawal fee: 0
Symbol: RAD | Network: ETH | Withdrawal fee: 2.59
Symbol: BAT | Network: BSC | Withdrawal fee: 0.3
Symbol: BAT | Network: BNB | Withdrawal fee: 0.57
Symbol: BAT | Network: ETH | Withdrawal fee: 17
Symbol: AKRO | Network: ETH | Withdrawal fee: 1115
Symbol: NZD | Network: FIAT_MONEY | Withdrawal fee: 0
Symbol: MOVR | Network: MOVR | Withdrawal fee: 0.003
Symbol: XMR | Network: XMR | Withdrawal fee: 0.0001
Symbol: 1INCHDOWN | Network: ETF | Withdrawal fee: 0
Symbol: COTI | Network: BSC | Withdrawal fee: 1.04
Symbol: COTI | Network: BNB | Withdrawal fee: 2.04
Symbol: COTI | Network: ETH | Withdrawal fee: 63
