# use CTRL + F to search

Symbol: LOKI | Network: LOKI | Withdrawal fee: 2.0
Symbol: BONDLY | Network: ERC20 | Withdrawal fee: 750.0
Symbol: LACE | Network: BSC | Withdrawal fee: 90.0
Symbol: HEART | Network: ERC20 | Withdrawal fee: 450.0
Symbol: UNB | Network: BSC | Withdrawal fee: 175.0
Symbol: H3RO3S | Network: MATIC | Withdrawal fee: 10.0
Symbol: GAFI | Network: BSC | Withdrawal fee: 0.05
Symbol: KOL | Network: ERC20 | Withdrawal fee: 1750.0
Symbol: CHMB | Network: BSC | Withdrawal fee: 1000.0
Symbol: FALCONS | Network: BSC | Withdrawal fee: 45.0
Symbol: UFO | Network: ERC20 | Withdrawal fee: 3500000.0
Symbol: GEEQ | Network: ERC20 | Withdrawal fee: 45.0
Symbol: RACEFI | Network: SOL | Withdrawal fee: 15.0
Symbol: ORC | Network: ERC20 | Withdrawal fee: 50.0
Symbol: PEOPLE | Network: ERC20 | Withdrawal fee: 250.0
Symbol: ADS | Network: ERC20 | Withdrawal fee: 35.0
Symbol: OOKI | Network: ERC20 | Withdrawal fee: 700.0
Symbol: SOS | Network: ERC20 | Withdrawal fee: 33000000.0
Symbol: WHALE | Network: ERC20 | Withdrawal fee: 9.5
Symbol: IOTA | Network: IOTA | Withdrawal fee: 1.0
Symbol: CWEB | Network: ERC20 | Withdrawal fee: 300.0
Symbol: HNT | Network: HNT | Withdrawal fee: 0.7
Symbol: GGG | Network: BSC | Withdrawal fee: 4.0
Symbol: CLH | Network: ERC20 | Withdrawal fee: 1250.0
Symbol: REVU | Network: ADA | Withdrawal fee: 40.0
Symbol: PLGR | Network: BSC | Withdrawal fee: 500.0
Symbol: GLMR | Network: GLMR | Withdrawal fee: 1.0
Symbol: CTC | Network: ERC20 | Withdrawal fee: 17.5
Symbol: LOVE | Network: ERC20 | Withdrawal fee: 1250.0
Symbol: GARI | Network: SOL | Withdrawal fee: 3.0
Symbol: FRR | Network: ERC20 | Withdrawal fee: 45000.0
Symbol: ASTR | Network: ASTR | Withdrawal fee: 10.0
Symbol: ERTHA | Network: BSC | Withdrawal fee: 70.0
Symbol: FCON | Network: SOL | Withdrawal fee: 2000.0
Symbol: ACA | Network: ACA | Withdrawal fee: 1.0
Symbol: MTS | Network: BSC | Withdrawal fee: 30.0
Symbol: ROAR | Network: BSC | Withdrawal fee: 25.0
Symbol: HBB | Network: SOL | Withdrawal fee: 1.2
Symbol: SURV | Network: BSC | Withdrawal fee: 750.0
Symbol: AMP | Network: ERC20 | Withdrawal fee: 2000.0
Symbol: CVX | Network: ERC20 | Withdrawal fee: 1.2
Symbol: MJT | Network: KCC | Withdrawal fee: 0.5
Symbol: XNO | Network: NANO | Withdrawal fee: 0.02
Symbol: SHX | Network: XLM | Withdrawal fee: 500.0
Symbol: STARLY | Network: BSC | Withdrawal fee: 12.5
Symbol: ONSTON | Network: ERC20 | Withdrawal fee: 520.0
Symbol: WMT | Network: ADA | Withdrawal fee: 6.0
Symbol: RANKER | Network: ERC20 | Withdrawal fee: 1150.0
Symbol: LAVAX | Network: BSC | Withdrawal fee: 30.0
Symbol: MARS4 | Network: ERC20 | Withdrawal fee: 7000.0
Symbol: METIS | Network: ERC20 | Withdrawal fee: 0.25
Symbol: WAL | Network: BSC | Withdrawal fee: 12.0
Symbol: BULL | Network: MATIC | Withdrawal fee: 10.0
Symbol: SON | Network: BSC | Withdrawal fee: 750.0
Symbol: MELOS | Network: ERC20 | Withdrawal fee: 700.0
Symbol: APE | Network: ERC20 | Withdrawal fee: 1.25
Symbol: VSYS | Network: VSYS | Withdrawal fee: 2.0
Symbol: ACT | Network: ACT(EVM) | Withdrawal fee: 10.0
Symbol: ADB | Network: ERC20 | Withdrawal fee: 6000.0
Symbol: AERGO | Network: ERC20 | Withdrawal fee: 50.0
Symbol: AION | Network: AION | Withdrawal fee: 0.2
Symbol: AMB | Network: AMB | Withdrawal fee: 30.0
Symbol: AOA | Network: AURORA | Withdrawal fee: 1000.0
Symbol: AVA | Network: BEP2 | Withdrawal fee: 1.0
Symbol: AXPR | Network: ERC20 | Withdrawal fee: 6000.0
Symbol: BAX | Network: ERC20 | Withdrawal fee: 9500.0
Symbol: BCD | Network: BCD | Withdrawal fee: 0.1
Symbol: BCH | Network: BCHN | Withdrawal fee: 0.001
Symbol: BSV | Network: BCHSV | Withdrawal fee: 0.01
Symbol: BTC | Network: BTC | Withdrawal fee: 0.0005
Symbol: CAPP | Network: ERC20 | Withdrawal fee: 15000.0
Symbol: COV | Network: ERC20 | Withdrawal fee: 30.0
Symbol: CPC | Network: CPC | Withdrawal fee: 75.0
Symbol: CRPT | Network: ERC20 | Withdrawal fee: 75.0
Symbol: CS | Network: CS | Withdrawal fee: 30.0
Symbol: CV | Network: ERC20 | Withdrawal fee: 15000.0
Symbol: CVC | Network: ERC20 | Withdrawal fee: 50.0
Symbol: DAG | Network: DAG | Withdrawal fee: 5.0
Symbol: DAI | Network: ERC20 | Withdrawal fee: 6.0
Symbol: DASH | Network: DASH | Withdrawal fee: 0.002
Symbol: DCR | Network: DCR | Withdrawal fee: 0.01
Symbol: DENT | Network: ERC20 | Withdrawal fee: 5000.0
Symbol: DGB | Network: DGB | Withdrawal fee: 1.0
Symbol: DOCK | Network: DOCK | Withdrawal fee: 20.0
Symbol: DRGN | Network: ERC20 | Withdrawal fee: 500.0
Symbol: ELF | Network: ERC20 | Withdrawal fee: 20.0
Symbol: ENJ | Network: ERC20 | Withdrawal fee: 15.0
Symbol: EOS | Network: EOS | Withdrawal fee: 0.2
Symbol: ETC | Network: ETC | Withdrawal fee: 0.01
Symbol: ETH | Network: ETH | Withdrawal fee: 0.005
Symbol: ETN | Network: ETN | Withdrawal fee: 150.0
Symbol: FTM | Network: ERC20 | Withdrawal fee: 20.0
Symbol: GAS | Network: NEO | Withdrawal fee: 0.01
Symbol: GO | Network: GO | Withdrawal fee: 20.0
Symbol: IOST | Network: IOST | Withdrawal fee: 10.0
Symbol: IOTX | Network: IOTX | Withdrawal fee: 10.0
Symbol: KAT | Network: ERC20 | Withdrawal fee: 1200.0
Symbol: KCS | Network: KCC | Withdrawal fee: 0.02
Symbol: KEY | Network: ERC20 | Withdrawal fee: 550.0
Symbol: KNC | Network: ERC20 | Withdrawal fee: 8.5
Symbol: LOC | Network: HYDRA | Withdrawal fee: 1.0
Symbol: LOOM | Network: ERC20 | Withdrawal fee: 75.0
Symbol: LSK | Network: LSK | Withdrawal fee: 0.1
Symbol: LTC | Network: LTC | Withdrawal fee: 0.001
Symbol: LYM | Network: ERC20 | Withdrawal fee: 2000.0
Symbol: MAN | Network: MAN | Withdrawal fee: 20.0
Symbol: MANA | Network: ERC20 | Withdrawal fee: 10.0
Symbol: MKR | Network: ERC20 | Withdrawal fee: 0.0075
Symbol: MVP | Network: ERC20 | Withdrawal fee: 100000.0
Symbol: NEO | Network: NEO | Withdrawal fee: 0.0
Symbol: NULS | Network: NULS | Withdrawal fee: 0.01
Symbol: OLT | Network: OLT | Withdrawal fee: 30.0
Symbol: OMG | Network: ERC20 | Withdrawal fee: 3.5
Symbol: ONG | Network: ONT | Withdrawal fee: 1.0
Symbol: ONT | Network: ONT | Withdrawal fee: 1.0
Symbol: PLAY | Network: ERC20 | Withdrawal fee: 2000.0
Symbol: POWR | Network: ERC20 | Withdrawal fee: 12.0
Symbol: QKC | Network: QKC | Withdrawal fee: 20.0
Symbol: QTUM | Network: QTUM | Withdrawal fee: 0.075
Symbol: R | Network: ERC20 | Withdrawal fee: 12000.0
Symbol: REQ | Network: ERC20 | Withdrawal fee: 50.0
Symbol: SNT | Network: ERC20 | Withdrawal fee: 175.0
Symbol: SNX | Network: ERC20 | Withdrawal fee: 4.0
Symbol: SOUL | Network: PHANTASMA | Withdrawal fee: 2.0
Symbol: TEL | Network: ERC20 | Withdrawal fee: 2250.0
Symbol: TIME | Network: ERC20 | Withdrawal fee: 0.125
Symbol: TOMO | Network: TOMO | Withdrawal fee: 0.01
Symbol: TRAC | Network: ERC20 | Withdrawal fee: 15.0
Symbol: TRX | Network: TRX | Withdrawal fee: 1.0
Symbol: TUSD | Network: ERC20 | Withdrawal fee: 10.0
Symbol: USDC | Network: ERC20 | Withdrawal fee: 20.0
Symbol: USDT | Network: ERC20 | Withdrawal fee: 20.0
Symbol: UTK | Network: ERC20 | Withdrawal fee: 65.0
Symbol: VET | Network: VET | Withdrawal fee: 30.0
Symbol: VTHO | Network: VET | Withdrawal fee: 200.0
Symbol: WAN | Network: WAN | Withdrawal fee: 0.1
Symbol: WAXP | Network: ERC20 | Withdrawal fee: 85.0
Symbol: XLM | Network: XLM | Withdrawal fee: 0.02
Symbol: XRP | Network: XRP | Withdrawal fee: 0.5
Symbol: XYO | Network: ERC20 | Withdrawal fee: 950.0
Symbol: ZIL | Network: ZIL | Withdrawal fee: 10.0
Symbol: ZRX | Network: ERC20 | Withdrawal fee: 20.0
Symbol: GRIN | Network: GRIN | Withdrawal fee: 2.0
Symbol: SOLVE | Network: ERC20 | Withdrawal fee: 350.0
Symbol: BTT | Network: TRC20 | Withdrawal fee: 1250000.0
Symbol: MHC | Network: MHC | Withdrawal fee: 75.0
Symbol: GMT | Network: SOL | Withdrawal fee: 0.5
Symbol: BICO | Network: ERC20 | Withdrawal fee: 15.0
Symbol: STG | Network: ERC20 | Withdrawal fee: 6.0
Symbol: LMR | Network: ERC20 | Withdrawal fee: 750.0
Symbol: LOKA | Network: ERC20 | Withdrawal fee: 10.0
Symbol: URUS | Network: ERC20 | Withdrawal fee: 0.25
Symbol: BNC | Network: BNC | Withdrawal fee: 1.0
Symbol: JAM | Network: ERC20 | Withdrawal fee: 1750.0
Symbol: LBP | Network: ERC20 | Withdrawal fee: 9000.0
Symbol: CFX | Network: CFX | Withdrawal fee: 1.0
Symbol: XCN | Network: ERC20 | Withdrawal fee: 1350.0
Symbol: KP3R | Network: ERC20 | Withdrawal fee: 0.04
Symbol: LOOKS | Network: ERC20 | Withdrawal fee: 35.0
Symbol: UPO | Network: MATIC | Withdrawal fee: 2.0
Symbol: INDI | Network: ERC20 | Withdrawal fee: 70.0
Symbol: TITAN | Network: ERC20 | Withdrawal fee: 85.0
Symbol: SPELL | Network: ERC20 | Withdrawal fee: 3500.0
Symbol: SLCL | Network: SOL | Withdrawal fee: 10.0
Symbol: RPC | Network: ERC20 | Withdrawal fee: 400.0
Symbol: CEEK | Network: ERC20 | Withdrawal fee: 60.0
Symbol: T | Network: ERC20 | Withdrawal fee: 200.0
Symbol: BETA | Network: BSC | Withdrawal fee: 3.0
Symbol: VEMP | Network: ERC20 | Withdrawal fee: 300.0
Symbol: NHCT | Network: AVAX C-Chain | Withdrawal fee: 2.0
Symbol: ARNM | Network: SOL | Withdrawal fee: 7.0
Symbol: VISION | Network: BSC | Withdrawal fee: 60.0
Symbol: ALPINE | Network: BSC | Withdrawal fee: 0.25
Symbol: COCOS | Network: ERC20 | Withdrawal fee: 4.0
Symbol: BNX | Network: BSC | Withdrawal fee: 1.0
Symbol: ZBC | Network: SOL | Withdrawal fee: 30.0
Symbol: WOOP | Network: BSC | Withdrawal fee: 35.0
Symbol: NYM | Network: ERC20 | Withdrawal fee: 25.0
Symbol: VOXEL | Network: MATIC | Withdrawal fee: 1.0
Symbol: PSTAKE | Network: ERC20 | Withdrawal fee: 50.0
Symbol: SPA | Network: ERC20 | Withdrawal fee: 1250.0
Symbol: RACA | Network: BSC | Withdrawal fee: 1000.0
Symbol: DAR | Network: BSC | Withdrawal fee: 1.5
Symbol: SYNR | Network: ERC20 | Withdrawal fee: 2000.0
Symbol: MV | Network: MATIC | Withdrawal fee: 5.0
Symbol: XDEFI | Network: ERC20 | Withdrawal fee: 40.0
Symbol: HAWK | Network: SOL | Withdrawal fee: 70.0
Symbol: SWFTC | Network: ERC20 | Withdrawal fee: 4000.0
Symbol: XWG | Network: BSC | Withdrawal fee: 200.0
Symbol: IDEX | Network: ERC20 | Withdrawal fee: 50.0
Symbol: BRWL | Network: ERC20 | Withdrawal fee: 1750.0
Symbol: TAUM | Network: BSC | Withdrawal fee: 600.0
Symbol: CELR | Network: ERC20 | Withdrawal fee: 200.0
Symbol: ITAMCUBE | Network: BSC | Withdrawal fee: 3.0
Symbol: AURORA | Network: ERC20 | Withdrawal fee: 25.0
Symbol: ELITEHERO | Network: KCC | Withdrawal fee: 0.0
Symbol: POSI | Network: BSC | Withdrawal fee: 17.5
Symbol: SIN | Network: BSC | Withdrawal fee: 40.0
Symbol: COOHA | Network: KCC | Withdrawal fee: 0.2
Symbol: EPK | Network: ERC20 | Withdrawal fee: 350.0
Symbol: PLD | Network: SOL | Withdrawal fee: 10.0
Symbol: EPX | Network: BSC | Withdrawal fee: 800.0
Symbol: PSL | Network: Pastel | Withdrawal fee: 200.0
Symbol: SYS | Network: SYSEVM | Withdrawal fee: 1.5
Symbol: OVR | Network: ERC20 | Withdrawal fee: 15.0
Symbol: PKF | Network: ERC20 | Withdrawal fee: 60.0
Symbol: DG | Network: ERC20 | Withdrawal fee: 180.0
Symbol: BRISE | Network: BSC | Withdrawal fee: 2950000.0
Symbol: PLY | Network: ERC20 | Withdrawal fee: 10000.0
Symbol: GST | Network: SOL | Withdrawal fee: 15.0
Symbol: AKT | Network: AKT | Withdrawal fee: 2.0
Symbol: FSN | Network: FSN | Withdrawal fee: 1.0
Symbol: GAL | Network: ERC20 | Withdrawal fee: 3.0
Symbol: FITFI | Network: AVAX C-Chain | Withdrawal fee: 2.0
Symbol: BSW | Network: BSC | Withdrawal fee: 1.0
Symbol: H2O | Network: BSC | Withdrawal fee: 2.0
Symbol: GMM | Network: BSC | Withdrawal fee: 450.0
Symbol: FCD | Network: MATIC | Withdrawal fee: 40.0
Symbol: BOBA | Network: ERC20 | Withdrawal fee: 22.0
Symbol: XRACER | Network: KCC | Withdrawal fee: 0.0
Symbol: BFC | Network: ERC20 | Withdrawal fee: 70.0
Symbol: BIFIF | Network: ERC20 | Withdrawal fee: 750.0
Symbol: KARA | Network: BSC | Withdrawal fee: 30.0
Symbol: DFA | Network: ERC20 | Withdrawal fee: 125.0
Symbol: KYL | Network: ERC20 | Withdrawal fee: 450.0
Symbol: CELT | Network: ERC20 | Withdrawal fee: 4000.0
Symbol: MBL | Network: ONT | Withdrawal fee: 200.0
Symbol: DUSK | Network: ERC20 | Withdrawal fee: 25.0
Symbol: CCD | Network: CCD | Withdrawal fee: 50.0
Symbol: USDD | Network: TRC20 | Withdrawal fee: 1.0
Symbol: MBOX | Network: BSC | Withdrawal fee: 0.4
Symbol: SCRT | Network: SCRT | Withdrawal fee: 0.2
Symbol: MLS | Network: KCC | Withdrawal fee: 1.0
Symbol: AFK | Network: BSC | Withdrawal fee: 35.0
Symbol: ACH | Network: ERC20 | Withdrawal fee: 125.0
Symbol: IHC | Network: BSC | Withdrawal fee: 4500.0
Symbol: STORE | Network: ERC20 | Withdrawal fee: 175.0
Symbol: DOSE | Network: ERC20 | Withdrawal fee: 750.0
Symbol: LUNC | Network: LUNC | Withdrawal fee: 750.0
Symbol: USTC | Network: LUNC | Withdrawal fee: 8.0
Symbol: IDLENFT | Network: KCC | Withdrawal fee: 0.0
Symbol: OP | Network: OPTIMISM | Withdrawal fee: 0.5
Symbol: ICX | Network: ICON | Withdrawal fee: 1.0
Symbol: MOOV | Network: BSC | Withdrawal fee: 35.0
Symbol: USDP | Network: ERC20 | Withdrawal fee: 20.0
Symbol: WELL | Network: GLMR | Withdrawal fee: 5.0
Symbol: CSPR | Network: Casper | Withdrawal fee: 5.0
Symbol: FORT | Network: ERC20 | Withdrawal fee: 50.0
Symbol: REV3L | Network: BSC | Withdrawal fee: 50.0
Symbol: WEMIX | Network: WEMIX | Withdrawal fee: 0.3
Symbol: OGV | Network: ERC20 | Withdrawal fee: 750.0
Symbol: OLE | Network: BSC | Withdrawal fee: 10.0
Symbol: LDO | Network: ERC20 | Withdrawal fee: 6.0
Symbol: CULT | Network: ERC20 | Withdrawal fee: 1250000.0
Symbol: RBP | Network: KCC | Withdrawal fee: 3.0
Symbol: SRBP | Network: KCC | Withdrawal fee: 0.2
Symbol: HIBAYC | Network: ERC20 | Withdrawal fee: 10.0
Symbol: HIPUNKS | Network: ERC20 | Withdrawal fee: 30.0
Symbol: BUSD | Network: BSC | Withdrawal fee: 1.0
Symbol: FIDA | Network: SOL | Withdrawal fee: 0.99
Symbol: WOMBAT | Network: ERC20 | Withdrawal fee: 2000.0
Symbol: FT | Network: ERC20 | Withdrawal fee: 1.75
Symbol: HIENS4 | Network: ERC20 | Withdrawal fee: 1750.0
Symbol: EGAME | Network: ERC20 | Withdrawal fee: 50000.0
Symbol: STEPWATCH | Network: MATIC | Withdrawal fee: 5.0
Symbol: HISAND33 | Network: ERC20 | Withdrawal fee: 195.0
Symbol: XRD | Network: Radixdlt | Withdrawal fee: 8.0
Symbol: PIKASTER2 | Network: BSC | Withdrawal fee: 0.0
Symbol: DC | Network: ERC20 | Withdrawal fee: 4000.0
Symbol: HIENS3 | Network: ERC20 | Withdrawal fee: 125.0
Symbol: NEER | Network: PIONEER | Withdrawal fee: 1.0
Symbol: RVN | Network: RVN | Withdrawal fee: 2.0
Symbol: MC | Network: BSC | Withdrawal fee: 2.0
Symbol: PEEL | Network: BSC | Withdrawal fee: 7.5
Symbol: SDL | Network: ERC20 | Withdrawal fee: 600.0
Symbol: HIODBS | Network: ERC20 | Withdrawal fee: 750.0
Symbol: SWEAT | Network: ERC20 | Withdrawal fee: 750.0
Symbol: CMP | Network: CMP | Withdrawal fee: 1.0
Symbol: PIX | Network: PIX | Withdrawal fee: 20.0
Symbol: HIDOODLES | Network: ERC20 | Withdrawal fee: 700.0
Symbol: MPLX | Network: SOL | Withdrawal fee: 4.5
Symbol: ETHW | Network: Ethereum Pow | Withdrawal fee: 1.0
Symbol: QUARTZ | Network: ERC20 | Withdrawal fee: 14.0
Symbol: PUMLX | Network: ERC20 | Withdrawal fee: 275.0
Symbol: HIMAYC | Network: ERC20 | Withdrawal fee: 40.0
Symbol: ACQ | Network: ERC20 | Withdrawal fee: 220.0
Symbol: RED | Network: ERC20 | Withdrawal fee: 7000.0
Symbol: AOG | Network: BSC | Withdrawal fee: 15.0
Symbol: PRMX | Network: ERC20 | Withdrawal fee: 1400.0
Symbol: XETA | Network: AVAX C-Chain | Withdrawal fee: 1.0
Symbol: GEM | Network: ERC20 | Withdrawal fee: 500.0
Symbol: HIOD | Network: ERC20 | Withdrawal fee: 1500.0
Symbol: KICKS | Network: BSC | Withdrawal fee: 150.0
Symbol: ASTROBOY | Network: ERC20 | Withdrawal fee: 0.0
Symbol: DERC | Network: ERC20 | Withdrawal fee: 24.0
Symbol: P00LS | Network: ERC20 | Withdrawal fee: 50.0
Symbol: GMX | Network: AVAX C-Chain | Withdrawal fee: 0.02
Symbol: POKT | Network: POKT | Withdrawal fee: 5.0
Symbol: EFI | Network: EFINITY | Withdrawal fee: 3.0
Symbol: APT | Network: APT | Withdrawal fee: 0.05
Symbol: BBC | Network: BSC | Withdrawal fee: 15.0
Symbol: EUL | Network: ERC20 | Withdrawal fee: 1.75
Symbol: TON | Network: TON | Withdrawal fee: 0.1
Symbol: HIMEEBITS | Network: ERC20 | Withdrawal fee: 1250.0
Symbol: HISQUIGGLE | Network: ERC20 | Withdrawal fee: 300.0
Symbol: PIAS | Network: BSC | Withdrawal fee: 25.0
Symbol: XCV | Network: BSC | Withdrawal fee: 50.0
Symbol: ECOX | Network: ERC20 | Withdrawal fee: 7.5
Symbol: HFT | Network: ERC20 | Withdrawal fee: 10.0
Symbol: HIFIDENZA | Network: ERC20 | Withdrawal fee: 30.0
Symbol: AZERO | Network: AZERO | Withdrawal fee: 0.45
Symbol: BEAT | Network: MATIC | Withdrawal fee: 3.0
Symbol: CLUB | Network: ERC20 | Withdrawal fee: 700.0
Symbol: MATCH | Network: ERC20 | Withdrawal fee: 30000.0
Symbol: NRFB | Network: ERC20 | Withdrawal fee: 1500.0
Symbol: HIGAZERS | Network: ERC20 | Withdrawal fee: 95.0
Symbol: NAVI | Network: ERC20 | Withdrawal fee: 55.0
Symbol: HIPENGUINS | Network: ERC20 | Withdrawal fee: 500.0
Symbol: CARE | Network: ERC20 | Withdrawal fee: 4000.0
Symbol: ALT | Network: APT | Withdrawal fee: 2.0
Symbol: HICLONEX | Network: ERC20 | Withdrawal fee: 850.0
Symbol: OAS | Network: OAS | Withdrawal fee: 2.0
Symbol: PRIMAL | Network: BSC | Withdrawal fee: 60.0
Symbol: HICOOLCATS | Network: ERC20 | Withdrawal fee: 2000.0
Symbol: HIAZUKI | Network: ERC20 | Withdrawal fee: 240.0
Symbol: TEM | Network: ERC20 | Withdrawal fee: 150.0
Symbol: HIFLUF | Network: ERC20 | Withdrawal fee: 1500.0
Symbol: OSMO | Network: OSMO | Withdrawal fee: 0.2
Symbol: FLR | Network: FLARE | Withdrawal fee: 2.0
Symbol: HIBIRDS | Network: ERC20 | Withdrawal fee: 275.0
Symbol: BDX | Network: BDX | Withdrawal fee: 2.0
Symbol: HIMFERS | Network: ERC20 | Withdrawal fee: 3000.0
Symbol: SIMP | Network: ERC20 | Withdrawal fee: 300.0
Symbol: MAGIC | Network: ARBITRUM | Withdrawal fee: 0.5
Symbol: ASTRA | Network: ERC20 | Withdrawal fee: 14.0
Symbol: HIVALHALLA | Network: ERC20 | Withdrawal fee: 1250.0
Symbol: SQUAD | Network: BSC | Withdrawal fee: 12.5
Symbol: RPL | Network: ERC20 | Withdrawal fee: 0.15
Symbol: HIRENGA | Network: ERC20 | Withdrawal fee: 850.0
Symbol: HIGH | Network: ERC20 | Withdrawal fee: 2.0
Symbol: KING | Network: ERC20 | Withdrawal fee: 325.0
Symbol: HIUNDEAD | Network: ERC20 | Withdrawal fee: 3000.0
Symbol: GFT | Network: BSC | Withdrawal fee: 5.0
Symbol: FLOKI | Network: ERC20 | Withdrawal fee: 250000.0
Symbol: HIFRIENDS | Network: ERC20 | Withdrawal fee: 300.0
Symbol: BLUR | Network: ERC20 | Withdrawal fee: 12.5
Symbol: WAXL | Network: ERC20 | Withdrawal fee: 9.5
Symbol: SSV | Network: ERC20 | Withdrawal fee: 0.15
Symbol: IGU | Network: BSC | Withdrawal fee: 4.0
Symbol: ACS | Network: SOL | Withdrawal fee: 15.0
Symbol: CSIX | Network: BSC | Withdrawal fee: 10.0
Symbol: HISEALS | Network: ERC20 | Withdrawal fee: 500.0
Symbol: SIDUS | Network: ERC20 | Withdrawal fee: 2500.0
Symbol: GOAL | Network: BSC | Withdrawal fee: 0.95
Symbol: SYN | Network: ERC20 | Withdrawal fee: 6.0
Symbol: GRAIL | Network: ARBITRUM | Withdrawal fee: 0.00095
Symbol: DPX | Network: ARBITRUM | Withdrawal fee: 0.0075
Symbol: RDNT | Network: ARBITRUM | Withdrawal fee: 3.5
Symbol: AIPAD | Network: ERC20 | Withdrawal fee: 17.5
Symbol: GNS | Network: ARBITRUM | Withdrawal fee: 0.3
Symbol: HIBEANZ | Network: ERC20 | Withdrawal fee: 1500.0
Symbol: BLZ | Network: ERC20 | Withdrawal fee: 65.0
Symbol: MINA | Network: MINA | Withdrawal fee: 0.5
Symbol: NXRA | Network: ERC20 | Withdrawal fee: 85.0
Symbol: HALO | Network: BSC | Withdrawal fee: 4.0
Symbol: HMND | Network: HMND | Withdrawal fee: 1.0
Symbol: HIFI | Network: ERC20 | Withdrawal fee: 12.0
Symbol: NOM | Network: NOM | Withdrawal fee: 0.3
Symbol: LQTY | Network: ERC20 | Withdrawal fee: 1.75
Symbol: STRAX | Network: STRAX | Withdrawal fee: 1.0
Symbol: ARB | Network: ARBITRUM | Withdrawal fee: 0.5
Symbol: ID | Network: BSC | Withdrawal fee: 1.5
Symbol: MYRIA | Network: ERC20 | Withdrawal fee: 600.0
Symbol: SD | Network: ERC20 | Withdrawal fee: 3.5
Symbol: RLTM | Network: ERC20 | Withdrawal fee: 100.0
Symbol: KAGI | Network: ERC20 | Withdrawal fee: 18.0
Symbol: CGPT | Network: BSC | Withdrawal fee: 6.0
