# use CTRL + F to search

Symbol: AGLD | Network: ERC20 | Withdrawal fee: 10.0
Symbol: GBC | Network: ERC20 | Withdrawal fee: 107.0
Symbol: NEXO | Network: ERC20 | Withdrawal fee: 7.0
Symbol: ORN | Network: ERC20 | Withdrawal fee: 6.0
Symbol: PTOY | Network: ERC20 | Withdrawal fee: 0.0
Symbol: SHOP | Network: ERC20 | Withdrawal fee: 20.0
Symbol: BOO1 | Network: HT | Withdrawal fee: 0.0
Symbol: ORS | Network: ERC20 | Withdrawal fee: 0.0
Symbol: GBK | Network: ERC20 | Withdrawal fee: 0.0
Symbol: ECOC | Network: ECOC | Withdrawal fee: 0.5
Symbol: APT1 | Network: ERC20 | Withdrawal fee: 1.41
Symbol: WECOLD | Network: ERC20 | Withdrawal fee: 0.0
Symbol: NSEWERPASS | Network: NONE | Withdrawal fee: 1.0
Symbol: BONK | Network: SOL | Withdrawal fee: 500000.0
Symbol: BeyondFi | Network: ERC20 | Withdrawal fee: 743.0
Symbol: XDC | Network: XDC | Withdrawal fee: 0.001
Symbol: XDB | Network: XDB | Withdrawal fee: 0.0
Symbol: BONE | Network: ERC20 | Withdrawal fee: 5.54
Symbol: COLLAB | Network: OP | Withdrawal fee: 0.0
Symbol: BOND | Network: ERC20 | Withdrawal fee: 1.25
Symbol: MBTC | Network: NONE | Withdrawal fee: 0.001
Symbol: SDEX | Network: ERC20 | Withdrawal fee: 400.0
Symbol: SUTER | Network: ERC20 | Withdrawal fee: 13000.0
Symbol: RVLT | Network: MATIC | Withdrawal fee: 1130000.0
Symbol: RACA | Network: ERC20 | Withdrawal fee: 26350.0
Symbol: SWEAT | Network: ERC20 | Withdrawal fee: 700.0
Symbol: SWEAT | Network: NEAR | Withdrawal fee: 3.0
Symbol: RISE | Network: ERC20 | Withdrawal fee: 34588.0
Symbol: XBTC | Network: ERC20 | Withdrawal fee: 0.0
Symbol: BZH | Network: ERC20 | Withdrawal fee: 0.0
Symbol: NAOS | Network: ERC20 | Withdrawal fee: 220.0
Symbol: BOOM | Network: ERC20 | Withdrawal fee: 0.0
Symbol: XEC | Network: XEC | Withdrawal fee: 2000.0
Symbol: GCAKE | Network: ERC20 | Withdrawal fee: 6988137.0
Symbol: SCTOLD | Network: SOL | Withdrawal fee: 0.0
Symbol: XEN | Network: ERC20 | Withdrawal fee: 2400000.0
Symbol: XEN | Network: NONE | Withdrawal fee: 0.0
Symbol: XEM | Network: NEM | Withdrawal fee: 0.0
Symbol: XEP | Network: XEP | Withdrawal fee: 0.1
Symbol: BZZ | Network: ERC20 | Withdrawal fee: 9.0
Symbol: KEYFI | Network: ERC20 | Withdrawal fee: 0.0
Symbol: XET | Network: ALGO | Withdrawal fee: 430.0
Symbol: CARM | Network: ERC20 | Withdrawal fee: 0.0
Symbol: GDC | Network: ERC20 | Withdrawal fee: 17149.0
Symbol: 10SET | Network: ERC20 | Withdrawal fee: 0.0
Symbol: GDG | Network: ERC20 | Withdrawal fee: 722.0
Symbol: ABYSS | Network: ERC20 | Withdrawal fee: 0.0
Symbol: KLP | Network: KLP | Withdrawal fee: 0.0
Symbol: CARE | Network: ERC20 | Withdrawal fee: 2191.0
Symbol: CARD | Network: ERC20 | Withdrawal fee: 0.0
Symbol: YARD | Network: SOL | Withdrawal fee: 8570.0
Symbol: GDO | Network: ERC20 | Withdrawal fee: 34816297.0
Symbol: KLV | Network: TRC20 | Withdrawal fee: 125.0
Symbol: XFI | Network: ERC20 | Withdrawal fee: 0.05
Symbol: KMA | Network: KMA | Withdrawal fee: 1.0
Symbol: BORA | Network: KLAY | Withdrawal fee: 5.0
Symbol: FMXEN | Network: FTM | Withdrawal fee: 67000000.0
Symbol: MOON | Network: ARBNOVA | Withdrawal fee: 1.0
Symbol: GEMS | Network: ALGO | Withdrawal fee: 2.0
Symbol: XFT | Network: ERC20 | Withdrawal fee: 8.0
Symbol: CNLT | Network: ERC20 | Withdrawal fee: 0.0
Symbol: MOOV | Network: ERC20 | Withdrawal fee: 978.0
Symbol: GEL | Network: ERC20 | Withdrawal fee: 19.0
Symbol: FODL | Network: ERC20 | Withdrawal fee: 1588.0
Symbol: GEN | Network: ERC20 | Withdrawal fee: 0.0
Symbol: CRTS | Network: ERC20 | Withdrawal fee: 9714.0
Symbol: GENE | Network: SOL | Withdrawal fee: 1.0
Symbol: CART | Network: ERC20 | Withdrawal fee: 429.0
Symbol: KNC | Network: ERC20 | Withdrawal fee: 7.0
Symbol: CROWN | Network: ERC20 | Withdrawal fee: 1.0
Symbol: ALPA | Network: ERC20 | Withdrawal fee: 164.0
Symbol: KILT | Network: KILT | Withdrawal fee: 0.1
Symbol: ALEPH | Network: ERC20 | Withdrawal fee: 73.0
Symbol: OVR | Network: ERC20 | Withdrawal fee: 18.0
Symbol: PLCU | Network: PLCU | Withdrawal fee: 0.0001
Symbol: GAIA | Network: MATIC | Withdrawal fee: 30.0
Symbol: GFX | Network: ERC20 | Withdrawal fee: 89.0
Symbol: NBRACELETS | Network: NONE | Withdrawal fee: 1.0
Symbol: GEOS | Network: MATIC | Withdrawal fee: 0.0
Symbol: KOM | Network: MATIC | Withdrawal fee: 30.0
Symbol: KOL | Network: ERC20 | Withdrawal fee: 2053.0
Symbol: DAPPT | Network: ERC20 | Withdrawal fee: 13433.0
Symbol: WDOGE | Network: DOGECHAIN | Withdrawal fee: 1.0
Symbol: SUKU | Network: ERC20 | Withdrawal fee: 100.0
Symbol: GRIN | Network: GRIN | Withdrawal fee: 0.0
Symbol: NDEADFELLAZ | Network: NONE | Withdrawal fee: 1.0
Symbol: ITGR | Network: ERC20 | Withdrawal fee: 549.0
Symbol: OXD | Network: FTM | Withdrawal fee: 0.0
Symbol: TAG | Network: KLAY | Withdrawal fee: 0.5
Symbol: TAI | Network: TRC20 | Withdrawal fee: 9.0
Symbol: KPC | Network: MATIC | Withdrawal fee: 30.0
Symbol: GHD | Network: ERC20 | Withdrawal fee: 42459.0
Symbol: USDJ | Network: TRC20 | Withdrawal fee: 0.5
Symbol: TAO | Network: TAO | Withdrawal fee: 0.04
Symbol: ADAX | Network: ADA | Withdrawal fee: 110.0
Symbol: DICE | Network: KLAY | Withdrawal fee: 10.0
Symbol: KINT | Network: KINT | Withdrawal fee: 0.1
Symbol: FITFI | Network: AVAX_CCHAIN | Withdrawal fee: 6.6
Symbol: USDT | Network: OMNI | Withdrawal fee: 20.0
Symbol: USDT | Network: ALGO | Withdrawal fee: 2.0
Symbol: USDT | Network: EOS | Withdrawal fee: 1.0
Symbol: USDT | Network: ERC20 | Withdrawal fee: 4.0
Symbol: USDT | Network: HECO | Withdrawal fee: 0.5
Symbol: USDT | Network: MATIC | Withdrawal fee: 1.0
Symbol: USDT | Network: OKT | Withdrawal fee: 1.0
Symbol: USDT | Network: OP | Withdrawal fee: 1.0
Symbol: USDT | Network: SOL | Withdrawal fee: 1.5
Symbol: USDT | Network: TRC20 | Withdrawal fee: 1.0
Symbol: TAU | Network: ERC20 | Withdrawal fee: 0.0
Symbol: METABABY | Network: ERC20 | Withdrawal fee: 420.0
Symbol: PLEX | Network: ERC20 | Withdrawal fee: 46.0
Symbol: PLEX | Network: PLEX | Withdrawal fee: 2.0
Symbol: DCERC | Network: ERC20 | Withdrawal fee: 3188.0
Symbol: OXT | Network: ERC20 | Withdrawal fee: 96.0
Symbol: USDP | Network: ERC20 | Withdrawal fee: 20.0
Symbol: USDN | Network: WAVES | Withdrawal fee: 1.0
Symbol: ADAO | Network: ADA | Withdrawal fee: 450.0
Symbol: OXY | Network: ERC20 | Withdrawal fee: 246.0
Symbol: CAVE | Network: SOL | Withdrawal fee: 0.0
Symbol: TBE | Network: HECO | Withdrawal fee: 0.0
Symbol: APYS | Network: ERC20 | Withdrawal fee: 432.0
Symbol: NAXAR | Network: SOL | Withdrawal fee: 0.0
Symbol: SPELLFIRE | Network: ERC20 | Withdrawal fee: 0.0
Symbol: HYVE | Network: ERC20 | Withdrawal fee: 159.0
Symbol: VEED | Network: VET | Withdrawal fee: 1.0
Symbol: KEEP | Network: ERC20 | Withdrawal fee: 0.0
Symbol: CAI | Network: ERC20 | Withdrawal fee: 230.0
Symbol: GERA | Network: ERC20 | Withdrawal fee: 1500.0
Symbol: MXEN | Network: MATIC | Withdrawal fee: 1760000.0
Symbol: HUNT | Network: ERC20 | Withdrawal fee: 24.0
Symbol: CAN | Network: HECO | Withdrawal fee: 10.0
Symbol: MOTG | Network: ERC20 | Withdrawal fee: 5.0
Symbol: RAIN | Network: ERC20 | Withdrawal fee: 2597.0
Symbol: CAS | Network: BEP2 | Withdrawal fee: 50.0
Symbol: GIV | Network: ERC20 | Withdrawal fee: 0.0
Symbol: KINE | Network: ERC20 | Withdrawal fee: 80.0
Symbol: CAW | Network: ERC20 | Withdrawal fee: 40000000.0
Symbol: USDD | Network: ERC20 | Withdrawal fee: 5.0
Symbol: USDD | Network: TRC20 | Withdrawal fee: 1.0
Symbol: INSURE | Network: ERC20 | Withdrawal fee: 683.0
Symbol: ICHI | Network: ERC20 | Withdrawal fee: 1.55
Symbol: USDC | Network: ERC20 | Withdrawal fee: 4.0
Symbol: USDC | Network: ALGO | Withdrawal fee: 2.0
Symbol: USDC | Network: MATIC | Withdrawal fee: 1.0
Symbol: USDC | Network: OP | Withdrawal fee: 0.5
Symbol: USDC | Network: SOL | Withdrawal fee: 1.5
Symbol: USDC | Network: TRC20 | Withdrawal fee: 1.0
Symbol: CWAR | Network: SOL | Withdrawal fee: 102.0
Symbol: BNBBULL | Network: ERC20 | Withdrawal fee: 0.0
Symbol: GRND | Network: KLAY | Withdrawal fee: 7.0
Symbol: TCT | Network: ERC20 | Withdrawal fee: 3986.0
Symbol: CBC | Network: ERC20 | Withdrawal fee: 0.0
Symbol: TRIBE | Network: ERC20 | Withdrawal fee: 53.0
Symbol: TRIBE | Network: HECO | Withdrawal fee: 2.0
Symbol: CBK | Network: ERC20 | Withdrawal fee: 12.8
Symbol: PBTC35A | Network: ERC20 | Withdrawal fee: 0.0
Symbol: GAME | Network: ERC20 | Withdrawal fee: 0.13
Symbol: CBX | Network: ERC20 | Withdrawal fee: 133.0
Symbol: XLM | Network: XLM | Withdrawal fee: 0.1
Symbol: KSC | Network: ERC20 | Withdrawal fee: 1342.0
Symbol: ALITA | Network: ERC20 | Withdrawal fee: 0.0
Symbol: XLP | Network: ERC20 | Withdrawal fee: 0.0
Symbol: XLS | Network: ERC20 | Withdrawal fee: 52.0
Symbol: SUPER | Network: ERC20 | Withdrawal fee: 0.0
Symbol: KSM | Network: KSM | Withdrawal fee: 0.01
Symbol: CCD | Network: CCD | Withdrawal fee: 1.0
Symbol: RNDR | Network: ERC20 | Withdrawal fee: 5.25
Symbol: REBUS | Network: REBUS | Withdrawal fee: 1.0
Symbol: REBUS | Network: REBUSEVM | Withdrawal fee: 1.0
Symbol: GALA | Network: ERC20 | Withdrawal fee: 107.0
Symbol: FIL36 | Network: NONE | Withdrawal fee: 0.001
Symbol: MOVD | Network: ERC20 | Withdrawal fee: 3329.0
Symbol: CCT | Network: ALGO | Withdrawal fee: 1.0
Symbol: RNDX | Network: KLAY | Withdrawal fee: 56.0
Symbol: MOVR | Network: MOVR | Withdrawal fee: 0.01
Symbol: XMR | Network: XMR | Withdrawal fee: 0.01
Symbol: TEM | Network: ERC20 | Withdrawal fee: 0.0
Symbol: XMX | Network: ERC20 | Withdrawal fee: 399233.0
Symbol: HUSL | Network: ERC20 | Withdrawal fee: 224.0
Symbol: DIGG | Network: ERC20 | Withdrawal fee: 7e-05
Symbol: GLO | Network: ERC20 | Withdrawal fee: 34578.0
Symbol: GLQ | Network: ERC20 | Withdrawal fee: 601.0
Symbol: GLQ | Network: GLQ | Withdrawal fee: 0.01
Symbol: CWEB | Network: ERC20 | Withdrawal fee: 464.0
Symbol: ADEL | Network: ERC20 | Withdrawal fee: 0.0
Symbol: REVV | Network: ERC20 | Withdrawal fee: 668.0
Symbol: TFI | Network: TOMO | Withdrawal fee: 0.1
Symbol: KUB | Network: KUB | Withdrawal fee: 0.0
Symbol: DANDY | Network: ERC20 | Withdrawal fee: 0.0
Symbol: BLACK | Network: ERC20 | Withdrawal fee: 0.0
Symbol: VELODROME | Network: OP | Withdrawal fee: 6.0
Symbol: GMB | Network: ERC20 | Withdrawal fee: 0.0
Symbol: TOKAMAK | Network: ERC20 | Withdrawal fee: 4.26
Symbol: CEL | Network: ERC20 | Withdrawal fee: 19.0
Symbol: BTCC | Network: ERC20 | Withdrawal fee: 0.0
Symbol: GMT Token | Network: ERC20 | Withdrawal fee: 40.0
Symbol: CNTR | Network: ERC20 | Withdrawal fee: 31215.0
Symbol: XOR | Network: ERC20 | Withdrawal fee: 0.0
Symbol: CNTM | Network: ERC20 | Withdrawal fee: 2000.0
Symbol: VOKEN | Network: ERC20 | Withdrawal fee: 0.0
Symbol: TGT | Network: ERC20 | Withdrawal fee: 397.0
Symbol: MCC1 | Network: NEO | Withdrawal fee: 500.0
Symbol: EYES | Network: ERC20 | Withdrawal fee: 2933.0
Symbol: NCLONEX | Network: NONE | Withdrawal fee: 20.0
Symbol: VITA | Network: ERC20 | Withdrawal fee: 3.5
Symbol: GNO | Network: ERC20 | Withdrawal fee: 0.026046
Symbol: VITE | Network: ERC20 | Withdrawal fee: 0.0
Symbol: HADES | Network: SOL | Withdrawal fee: 1.0
Symbol: GNS | Network: MATIC | Withdrawal fee: 0.25
Symbol: SUNNY | Network: SOL | Withdrawal fee: 18750.0
Symbol: THE | Network: ERC20 | Withdrawal fee: 4788.0
Symbol: GNX | Network: ERC20 | Withdrawal fee: 1294.0
Symbol: CFX | Network: CFX | Withdrawal fee: 0.02
Symbol: POLYDOGE | Network: MATIC | Withdrawal fee: 21600000.0
Symbol: VELO | Network: ERC20 | Withdrawal fee: 409.0
Symbol: VELO | Network: XLM | Withdrawal fee: 1.0
Symbol: BTCV | Network: BTCV | Withdrawal fee: 0.0
Symbol: THN | Network: ERC20 | Withdrawal fee: 669.0
Symbol: XPR | Network: PROTON | Withdrawal fee: 200.0
Symbol: GOG | Network: ERC20 | Withdrawal fee: 0.0
Symbol: LYRA | Network: ERC20 | Withdrawal fee: 21.0
Symbol: LYRA | Network: OP | Withdrawal fee: 2.0
Symbol: GOF | Network: ERC20 | Withdrawal fee: 136.0
Symbol: GOF | Network: HECO | Withdrawal fee: 0.5
Symbol: STRNGR | Network: ERC20 | Withdrawal fee: 0.0
Symbol: XPX | Network: XPX | Withdrawal fee: 100.0
Symbol: GOO | Network: ERC20 | Withdrawal fee: 168.0
Symbol: XCAD | Network: ERC20 | Withdrawal fee: 8.32
Symbol: TIC | Network: VET | Withdrawal fee: 0.0
Symbol: SHIRYO | Network: ERC20 | Withdrawal fee: 2152455848775.0
Symbol: GOV | Network: ERC20 | Withdrawal fee: 344.0
Symbol: PAC | Network: PAC | Withdrawal fee: 100.0
Symbol: OMNOM | Network: DOGECHAIN | Withdrawal fee: 3300000.0
Symbol: KXA | Network: ETH | Withdrawal fee: 31.0
Symbol: STORE | Network: ERC20 | Withdrawal fee: 209.0
Symbol: PAI | Network: ERC20 | Withdrawal fee: 0.0
Symbol: STORJ | Network: ERC20 | Withdrawal fee: 15.0
Symbol: FOOD | Network: MATIC | Withdrawal fee: 2.0
Symbol: RARI | Network: ERC20 | Withdrawal fee: 3.51
Symbol: CHE | Network: OKT | Withdrawal fee: 1.5
Symbol: RARE | Network: ERC20 | Withdrawal fee: 45.0
Symbol: CHI | Network: ERC20 | Withdrawal fee: 0.0
Symbol: BTFM | Network: ERC20 | Withdrawal fee: 0.0
Symbol: PAW | Network: ERC20 | Withdrawal fee: 264867.0
Symbol: GPT | Network: ERC20 | Withdrawal fee: 86.0
Symbol: CHO | Network: ERC20 | Withdrawal fee: 8.0
Symbol: XRD | Network: XRD | Withdrawal fee: 6.0
Symbol: XRD | Network: ERC20 | Withdrawal fee: 100.0
Symbol: CHS | Network: ERC20 | Withdrawal fee: 23.0
Symbol: CHZ | Network: ERC20 | Withdrawal fee: 87.0
Symbol: XRP | Network: XRP | Withdrawal fee: 0.25
Symbol: ITSB | Network: MATIC | Withdrawal fee: 6.0
Symbol: XRT | Network: ERC20 | Withdrawal fee: 0.0
Symbol: KYL | Network: ERC20 | Withdrawal fee: 0.0
Symbol: PBR | Network: ERC20 | Withdrawal fee: 50.0
Symbol: KWENTA | Network: OP | Withdrawal fee: 0.002
Symbol: H2O | Network: ERC20 | Withdrawal fee: 0.0
Symbol: OCEAN | Network: ERC20 | Withdrawal fee: 46.0
Symbol: TKB | Network: ERC20 | Withdrawal fee: 5618.0
Symbol: GARD | Network: ERC20 | Withdrawal fee: 0.0
Symbol: CIR | Network: HECO | Withdrawal fee: 0.0
Symbol: GARI | Network: SOL | Withdrawal fee: 47.0
Symbol: XREATORS | Network: ERC20 | Withdrawal fee: 170.0
Symbol: EMPIRE | Network: ERC20 | Withdrawal fee: 13000.0
Symbol: PAINT | Network: ERC20 | Withdrawal fee: 6870.0
Symbol: VEMP | Network: ERC20 | Withdrawal fee: 307.0
Symbol: PCR | Network: MATIC | Withdrawal fee: 20.0
Symbol: YFII | Network: ERC20 | Withdrawal fee: 0.001
Symbol: PLOT | Network: ERC20 | Withdrawal fee: 666.0
Symbol: PCX | Network: PCX | Withdrawal fee: 0.001
Symbol: GRO | Network: ERC20 | Withdrawal fee: 0.0
Symbol: GRT | Network: ERC20 | Withdrawal fee: 47.0
Symbol: GRV | Network: ERC20 | Withdrawal fee: 3.0
Symbol: ECELL | Network: ERC20 | Withdrawal fee: 0.0
Symbol: XTM | Network: ERC20 | Withdrawal fee: 193.0
Symbol: TLM | Network: ERC20 | Withdrawal fee: 4.0
Symbol: KASTA | Network: MATIC | Withdrawal fee: 2.0
Symbol: DZOO | Network: ERC20 | Withdrawal fee: 208.0
Symbol: YFIM | Network: ERC20 | Withdrawal fee: 0.0
Symbol: GSG | Network: MATIC | Withdrawal fee: 0.0
Symbol: CKB | Network: CKB | Withdrawal fee: 10.0
Symbol: LUNC | Network: LUNC | Withdrawal fee: 100.0
Symbol: XTZ | Network: XTZ | Withdrawal fee: 0.1
Symbol: LUNA | Network: LUNA2 | Withdrawal fee: 0.1
Symbol: AURORA | Network: ERC20 | Withdrawal fee: 32.0
Symbol: PDT | Network: ERC20 | Withdrawal fee: 0.0
Symbol: DILI | Network: ERC20 | Withdrawal fee: 0.0
Symbol: FORM | Network: ERC20 | Withdrawal fee: 2057.0
Symbol: PDX | Network: ERC20 | Withdrawal fee: 0.0
Symbol: ELON | Network: ERC20 | Withdrawal fee: 2500000.0
Symbol: ELON | Network: MATIC | Withdrawal fee: 350000.0
Symbol: GOLDFINCH | Network: ERC20 | Withdrawal fee: 10.0
Symbol: GST | Network: SOL | Withdrawal fee: 82.0
Symbol: FORT | Network: ERC20 | Withdrawal fee: 58.0
Symbol: EOSBULL | Network: ERC20 | Withdrawal fee: 0.0
Symbol: STONK | Network: ERC20 | Withdrawal fee: 0.0
Symbol: PARAS | Network: NEAR | Withdrawal fee: 2.0
Symbol: GTC | Network: ERC20 | Withdrawal fee: 3.63
Symbol: NBAI | Network: ERC20 | Withdrawal fee: 0.0
Symbol: CLA | Network: CELO | Withdrawal fee: 0.0
Symbol: TMX | Network: TRC20 | Withdrawal fee: 0.0
Symbol: PET | Network: ETH | Withdrawal fee: 25.0
Symbol: EUROC | Network: ERC20 | Withdrawal fee: 0.0
Symbol: PROS1 | Network: ERC20 | Withdrawal fee: 20.0
Symbol: BEAROLD | Network: ERC20 | Withdrawal fee: 0.0
Symbol: GTS | Network: TRC20 | Withdrawal fee: 0.0
Symbol: TNC | Network: ERC20 | Withdrawal fee: 0.0
Symbol: XVG | Network: XVG | Withdrawal fee: 30.0
Symbol: TNB | Network: ERC20 | Withdrawal fee: 0.0
Symbol: CLS | Network: ERC20 | Withdrawal fee: 47.0
Symbol: CLV | Network: ERC20 | Withdrawal fee: 46.0
Symbol: DAISY | Network: TRC20 | Withdrawal fee: 0.0
Symbol: DRAC | Network: DRAC | Withdrawal fee: 0.0
Symbol: CLY | Network: AVAX_CCHAIN | Withdrawal fee: 7.0
Symbol: TNS | Network: LUNC | Withdrawal fee: 1.0
Symbol: DOGIRA | Network: MATIC | Withdrawal fee: 0.0
Symbol: GUM | Network: ERC20 | Withdrawal fee: 216.0
Symbol: NPICK | Network: ERC20 | Withdrawal fee: 455.0
Symbol: XWC | Network: XWC | Withdrawal fee: 0.0
Symbol: DINO | Network: MATIC | Withdrawal fee: 0.0
Symbol: CMP | Network: CMP | Withdrawal fee: 1.0
Symbol: CMT | Network: ERC20 | Withdrawal fee: 0.0
Symbol: PBROLD | Network: ERC20 | Withdrawal fee: 0.0
Symbol: LUNR | Network: ERC20 | Withdrawal fee: 56.0
Symbol: TOK | Network: ERC20 | Withdrawal fee: 1366.0
Symbol: TON | Network: TONCOIN | Withdrawal fee: 0.02
Symbol: TON | Network: ERC20 | Withdrawal fee: 3.0
Symbol: HIBS | Network: KLAY | Withdrawal fee: 400.0
Symbol: TOP | Network: TOP | Withdrawal fee: 0.1
Symbol: MCHC | Network: ERC20 | Withdrawal fee: 91.0
Symbol: DEGO | Network: ERC20 | Withdrawal fee: 5.0
Symbol: EQUILIBRIUM | Network: XRP | Withdrawal fee: 1.0
Symbol: CND | Network: ERC20 | Withdrawal fee: 0.0
Symbol: CNC | Network: ERC20 | Withdrawal fee: 0.68
Symbol: PANDA | Network: ERC20 | Withdrawal fee: 975.0
Symbol: CNG | Network: ERC20 | Withdrawal fee: 54.0
Symbol: PGS | Network: ERC20 | Withdrawal fee: 0.0
Symbol: TPC | Network: TPC | Withdrawal fee: 0.1
Symbol: PHA | Network: ERC20 | Withdrawal fee: 48.0
Symbol: PHA | Network: Khala | Withdrawal fee: 1.0
Symbol: PANDO | Network: ERC20 | Withdrawal fee: 721.0
Symbol: ITHEUM | Network: EGLD | Withdrawal fee: 2.0
Symbol: ORBR | Network: ERC20 | Withdrawal fee: 2.31
Symbol: MTLX | Network: ERC20 | Withdrawal fee: 0.0
Symbol: PHX | Network: ERC20 | Withdrawal fee: 0.0
Symbol: CON | Network: ERC20 | Withdrawal fee: 0.0
Symbol: DRAW | Network: SOL | Withdrawal fee: 1300.0
Symbol: GWT | Network: SOL | Withdrawal fee: 0.0
Symbol: IPOR | Network: ERC20 | Withdrawal fee: 0.0
Symbol: PIB | Network: KLAY | Withdrawal fee: 1300.0
Symbol: COW | Network: ERC20 | Withdrawal fee: 129.0
Symbol: PIF | Network: ERC20 | Withdrawal fee: 0.0
Symbol: PSWAP | Network: ERC20 | Withdrawal fee: 0.0
Symbol: XYM | Network: XYM | Withdrawal fee: 20.0
Symbol: KOLNET | Network: MATIC | Withdrawal fee: 70.0
Symbol: LAD | Network: ERC20 | Withdrawal fee: 0.0
Symbol: XYO | Network: ERC20 | Withdrawal fee: 1401.0
Symbol: GXC | Network: GXC | Withdrawal fee: 1.0
Symbol: PIP | Network: SOL | Withdrawal fee: 15.0
Symbol: DEIP | Network: NEAR | Withdrawal fee: 0.0
Symbol: XYZ | Network: ERC20 | Withdrawal fee: 1777.0
Symbol: CPH | Network: CPH | Withdrawal fee: 1.0
Symbol: PLT1 | Network: ERC20 | Withdrawal fee: 0.0
Symbol: LAR | Network: ERC20 | Withdrawal fee: 0.0
Symbol: AURA | Network: AURA | Withdrawal fee: 1.0
Symbol: LAT | Network: LAT | Withdrawal fee: 1.0
Symbol: DACC | Network: ERC20 | Withdrawal fee: 0.0
Symbol: HIGH | Network: ERC20 | Withdrawal fee: 2.7
Symbol: QUROZ | Network: ERC20 | Withdrawal fee: 0.0
Symbol: TRB | Network: ERC20 | Withdrawal fee: 0.0
Symbol: TRD | Network: MATIC | Withdrawal fee: 0.0
Symbol: LAIKA | Network: ERC20 | Withdrawal fee: 48559386.0
Symbol: TRG | Network: ERC20 | Withdrawal fee: 19658465.0
Symbol: BCMC | Network: ERC20 | Withdrawal fee: 50.0
Symbol: BCMC | Network: MATIC | Withdrawal fee: 8.0
Symbol: CPU | Network: ERC20 | Withdrawal fee: 274.0
Symbol: LBA | Network: ERC20 | Withdrawal fee: 8177.0
Symbol: CPX | Network: ERC20 | Withdrawal fee: 0.0
Symbol: LBC | Network: LBC | Withdrawal fee: 1.0
Symbol: UBSN | Network: ERC20 | Withdrawal fee: 151557.0
Symbol: TRU | Network: ERC20 | Withdrawal fee: 122.0
Symbol: LBL | Network: ERC20 | Withdrawal fee: 2665.0
Symbol: TRV | Network: ERC20 | Withdrawal fee: 0.0
Symbol: LBP | Network: ERC20 | Withdrawal fee: 8872.0
Symbol: EDGE | Network: ERC20 | Withdrawal fee: 0.0
Symbol: UNCLEMINE | Network: SOL | Withdrawal fee: 645.0
Symbol: ORCA | Network: SOL | Withdrawal fee: 3.6
Symbol: BXXOLD | Network: ETH | Withdrawal fee: 20.0
Symbol: HIFI | Network: ETH | Withdrawal fee: 1.0
Symbol: KROM | Network: ERC20 | Withdrawal fee: 194.0
Symbol: CQT | Network: ERC20 | Withdrawal fee: 92.0
Symbol: EDEN | Network: ERC20 | Withdrawal fee: 66.0
Symbol: ASTAR | Network: ASTAREVM | Withdrawal fee: 15.0
Symbol: USTC | Network: ERC20 | Withdrawal fee: 47.0
Symbol: USTC | Network: LUNC | Withdrawal fee: 1.0
Symbol: PLUG | Network: ERC20 | Withdrawal fee: 4313.0
Symbol: JUSTICE | Network: ERC20 | Withdrawal fee: 63384.0
Symbol: RAYS | Network: MATIC | Withdrawal fee: 1.0
Symbol: ELIXIR | Network: MATIC | Withdrawal fee: 0.0
Symbol: PKN | Network: ERC20 | Withdrawal fee: 922.0
Symbol: CRA | Network: AVAX_CCHAIN | Withdrawal fee: 30.0
Symbol: CRF | Network: ERC20 | Withdrawal fee: 3878.0
Symbol: PKR | Network: ERC20 | Withdrawal fee: 1981.0
Symbol: TSX | Network: ERC20 | Withdrawal fee: 0.0
Symbol: CRP | Network: SOL | Withdrawal fee: 204.0
Symbol: CRO | Network: ERC20 | Withdrawal fee: 113.0
Symbol: CRO | Network: CRO | Withdrawal fee: 1.0
Symbol: CRO | Network: CRONOS | Withdrawal fee: 1.0
Symbol: TTC | Network: TTC | Withdrawal fee: 0.1
Symbol: CRT | Network: EGLD | Withdrawal fee: 1.0
Symbol: PLA | Network: ERC20 | Withdrawal fee: 26.0
Symbol: CRV | Network: ERC20 | Withdrawal fee: 15.0
Symbol: CRU | Network: ERC20 | Withdrawal fee: 5.24
Symbol: CRU | Network: CRUST | Withdrawal fee: 1.0
Symbol: PLE | Network: ERC20 | Withdrawal fee: 0.0
Symbol: PLG | Network: ERC20 | Withdrawal fee: 0.0
Symbol: PLN | Network: AVAX_CCHAIN | Withdrawal fee: 0.0
Symbol: LDO | Network: ERC20 | Withdrawal fee: 8.11
Symbol: MAGIC | Network: ERC20 | Withdrawal fee: 15.0
Symbol: REELT | Network: MATIC | Withdrawal fee: 10.0
Symbol: LDS | Network: ERC20 | Withdrawal fee: 0.0
Symbol: SEAL | Network: ERC20 | Withdrawal fee: 0.0
Symbol: PROPS | Network: ERC20 | Withdrawal fee: 0.0
Symbol: CSP | Network: ERC20 | Withdrawal fee: 0.0
Symbol: MATTER | Network: ERC20 | Withdrawal fee: 76.0
Symbol: BTTOLD | Network: TRC10 | Withdrawal fee: 0.0
Symbol: PMA | Network: ERC20 | Withdrawal fee: 0.0
Symbol: FAVOR | Network: KLAY | Withdrawal fee: 7.0
Symbol: LED | Network: LED | Withdrawal fee: 8.0
Symbol: PMG | Network: PMG | Withdrawal fee: 0.1
Symbol: CODE | Network: ERC20 | Withdrawal fee: 0.0
Symbol: CTC | Network: ERC20 | Withdrawal fee: 19.0
Symbol: FREEDOM | Network: ERC20 | Withdrawal fee: 8500000.0
