# use CTRL + F to search

Symbol: USDT | Network: ALGO | Withdrawal fee: 0.001
Symbol: FIS | Network: FIS | Withdrawal fee: 0.3
Symbol: AR | Network: AR | Withdrawal fee: 0.26
Symbol: HBAR | Network: HBAR | Withdrawal fee: 1.0
Symbol: FIL | Network: FIL | Withdrawal fee: 0.001
Symbol: FIL | Network: ERC20 | Withdrawal fee: 1.26256874
Symbol: FIL | Network: HRC20 | Withdrawal fee: 0.00549537
Symbol: NEAR | Network: NEAR | Withdrawal fee: 0.01
Symbol: AAVE | Network: ERC20 | Withdrawal fee: 0.14235339
Symbol: AAVE | Network: HRC20AAVE | Withdrawal fee: 0.00042135
Symbol: MASS | Network: MASS | Withdrawal fee: 0.1
Symbol: SOL | Network: HRC20 | Withdrawal fee: 0.00141109
Symbol: SOL | Network: SOLANA | Withdrawal fee: 0.01
Symbol: KAVA | Network: KAVA | Withdrawal fee: 0.01
Symbol: BETH | Network: HRC20 | Withdrawal fee: 1.777e-05
Symbol: SKL | Network: ERC20 | Withdrawal fee: 245.81424118
Symbol: BAG | Network: HRC20 | Withdrawal fee: 0.1
Symbol: BAGS | Network: HRC20 | Withdrawal fee: 0.08256679
Symbol: REEF | Network: BEP20 | Withdrawal fee: 49.10625335
Symbol: REEF | Network: ERC20 | Withdrawal fee: 1990.68523858
Symbol: DON | Network: IRC20 | Withdrawal fee: 0.0089
Symbol: XYM | Network: XYM | Withdrawal fee: 1.0
Symbol: RNDR | Network: ERC20 | Withdrawal fee: 3.56196835
Symbol: CAN | Network: HRC20 | Withdrawal fee: 124.65159966
Symbol: EUR | Network: EUR | Withdrawal fee: 999.0
Symbol: GBP | Network: GBP | Withdrawal fee: 999.0
Symbol: NU | Network: ERC20 | Withdrawal fee: 21.13896545
Symbol: CTSI | Network: ERC20 | Withdrawal fee: 37.11932988
Symbol: RLC | Network: ERC20 | Withdrawal fee: 3.26541208
Symbol: ZKS | Network: HRC20 | Withdrawal fee: 0.55543039
Symbol: ZKS | Network: ERC20 | Withdrawal fee: 95.50833967
Symbol: XRT | Network: ERC20 | Withdrawal fee: 1.01098901
Symbol: WOO | Network: HRC20 | Withdrawal fee: 0.14802589
Symbol: WOO | Network: ERC20 | Withdrawal fee: 25.46980127
Symbol: WBTC | Network: HRC20WBTC | Withdrawal fee: 1.09e-06
Symbol: WBTC | Network: WBTC | Withdrawal fee: 0.00018916
Symbol: UNI | Network: HRC20UNI | Withdrawal fee: 0.00558651
Symbol: UNI | Network: ERC20 | Withdrawal fee: 0.9613025
Symbol: UMA | Network: HRC20 | Withdrawal fee: 0.01576384
Symbol: UMA | Network: ERC20 | Withdrawal fee: 3.70184748
Symbol: TITAN | Network: ERC20 | Withdrawal fee: 107.19027159
Symbol: SUSHI | Network: HRC20 | Withdrawal fee: 0.02927625
Symbol: SUSHI | Network: ERC20 | Withdrawal fee: 5.04459716
Symbol: STN | Network: ERC20 | Withdrawal fee: 292.09782854
Symbol: SAND | Network: ERC20 | Withdrawal fee: 8.86653046
Symbol: RENBTC | Network: ERC20 | Withdrawal fee: 9.341e-05
Symbol: SOFI | Network: ERC20 | Withdrawal fee: 69.17658798
Symbol: POND | Network: ERC20 | Withdrawal fee: 548.69782121
Symbol: POLS | Network: ERC20 | Withdrawal fee: 12.74856949
Symbol: PHA | Network: HRC20 | Withdrawal fee: 0.21606073
Symbol: PHA | Network: ERC20 | Withdrawal fee: 37.2058071
Symbol: PERP | Network: ERC20 | Withdrawal fee: 7.1011
Symbol: OXT | Network: ERC20 | Withdrawal fee: 62.45904366
Symbol: ONX | Network: ERC20 | Withdrawal fee: 4.21
Symbol: NSURE | Network: ERC20 | Withdrawal fee: 544.29396666
Symbol: NSBT | Network: ERC20 | Withdrawal fee: 0.30216
Symbol: NHBTC | Network: HRC20 | Withdrawal fee: 4.193409
Symbol: NHBTC | Network: ERC20 | Withdrawal fee: 298.53443654
Symbol: MIR | Network: ERC20 | Withdrawal fee: 29.99896559
Symbol: MATIC | Network: HRC20 | Withdrawal fee: 0.02978249
Symbol: MATIC | Network: ERC20 | Withdrawal fee: 5.12094332
Symbol: MATIC | Network: MATIC | Withdrawal fee: 0.6
Symbol: MASK | Network: HRC20 | Withdrawal fee: 0.00604445
Symbol: MASK | Network: ERC20 | Withdrawal fee: 1.04091038
Symbol: LRC | Network: HRC20 | Withdrawal fee: 0.09331344
Symbol: LRC | Network: ERC20 | Withdrawal fee: 16.06919727
Symbol: LINA | Network: ERC20 | Withdrawal fee: 405.22536981
Symbol: INSUR | Network: HRC20 | Withdrawal fee: 0.39674173
Symbol: INSUR | Network: ERC20 | Withdrawal fee: 68.32086656
Symbol: INJ | Network: ERC20 | Withdrawal fee: 0.85300342
Symbol: GRT | Network: ERC20 | Withdrawal fee: 38.86006401
Symbol: GRT | Network: HRC20 | Withdrawal fee: 0.22583038
Symbol: GOF | Network: ERC20 | Withdrawal fee: 163.80314502
Symbol: GOF | Network: HRC20 | Withdrawal fee: 1.59117473
Symbol: FRONT | Network: ERC20 | Withdrawal fee: 23.42284545
Symbol: FORTH | Network: ERC20 | Withdrawal fee: 1.57473901
Symbol: ENJ | Network: ERC20 | Withdrawal fee: 13.40483764
Symbol: DHT | Network: ERC20 | Withdrawal fee: 60.49966597
Symbol: DHT | Network: HRC20 | Withdrawal fee: 0.58710836
Symbol: CVP | Network: ERC20 | Withdrawal fee: 12.06550314
Symbol: CVP | Network: HRC20 | Withdrawal fee: 0.07006451
Symbol: CRU | Network: ERC20 | Withdrawal fee: 4.46950607
Symbol: CRU | Network: CRUST | Withdrawal fee: 0.01
Symbol: CRU | Network: HRC20 | Withdrawal fee: 0.02597819
Symbol: CHZ | Network: ERC20 | Withdrawal fee: 43.69808714
Symbol: CHZ | Network: HRC20 | Withdrawal fee: 0.25366692
Symbol: BEL | Network: ERC20 | Withdrawal fee: 3.59509
Symbol: BADGER | Network: ERC20 | Withdrawal fee: 4.10656374
Symbol: AXS | Network: ERC20 | Withdrawal fee: 0.66241782
Symbol: AXS | Network: HRC20AXS | Withdrawal fee: 0.00384613
Symbol: APN | Network: ERC20 | Withdrawal fee: 4348.39824254
Symbol: API3 | Network: ERC20 | Withdrawal fee: 3.55288375
Symbol: ACH | Network: ERC20 | Withdrawal fee: 136.97542382
Symbol: ACH | Network: HRC20 | Withdrawal fee: 0.79521596
Symbol: 1INCH | Network: ERC20 | Withdrawal fee: 10.58918667
Symbol: 1INCH | Network: HRC20 | Withdrawal fee: 0.06147797
Symbol: ICP | Network: ICP | Withdrawal fee: 0.0003
Symbol: CSPR | Network: CSPR | Withdrawal fee: 5.0
Symbol: FILDA | Network: HRC20 | Withdrawal fee: 17.16486664
Symbol: FLOW | Network: FLOW | Withdrawal fee: 0.01
Symbol: IOTX | Network: IOTX | Withdrawal fee: 0.1
Symbol: LHB | Network: HRC20 | Withdrawal fee: 56.86227463
Symbol: MDX | Network: HRC20 | Withdrawal fee: 0.4841417
Symbol: QI | Network: QI | Withdrawal fee: 5.0
Symbol: RING | Network: HRC20 | Withdrawal fee: 6.98926183
Symbol: RING | Network: ERC20 | Withdrawal fee: 1203.60293703
Symbol: PUNDIX | Network: ERC20 | Withdrawal fee: 11.43362434
Symbol: SHIB | Network: HRC20 | Withdrawal fee: 2999.83211494
Symbol: SHIB | Network: ERC20 | Withdrawal fee: 516583.12371028
Symbol: LAT | Network: LAT | Withdrawal fee: 1.0
Symbol: APT | Network: APT | Withdrawal fee: 0.01
Symbol: BNB | Network: BEP20BNB | Withdrawal fee: 0.000252
Symbol: GHST | Network: ERC20 | Withdrawal fee: 11.9782
Symbol: KLAY | Network: KLAY | Withdrawal fee: 0.03
Symbol: XCH | Network: HRC20 | Withdrawal fee: 0.00085808
Symbol: XCH | Network: XCH | Withdrawal fee: 0.0005
Symbol: O3 | Network: ERC20 | Withdrawal fee: 88.6625182
Symbol: NFT | Network: HRC20 | Withdrawal fee: 86843.546032
Symbol: NFT | Network: TRC20 | Withdrawal fee: 1720.0
Symbol: MINA | Network: MINA | Withdrawal fee: 0.1
Symbol: XEC | Network: ECASH | Withdrawal fee: 1000.0
Symbol: AMP | Network: ERC20 | Withdrawal fee: 2839.02192496
Symbol: CLV | Network: ERC20 | Withdrawal fee: 84.79199364
Symbol: DFA | Network: ERC20 | Withdrawal fee: 80.9386057
Symbol: DFA | Network: HRC20 | Withdrawal fee: 0.78152027
Symbol: DAO | Network: ERC20 | Withdrawal fee: 3.87151484
Symbol: SKU | Network: HRC20 | Withdrawal fee: 3.63365629
Symbol: SKU | Network: ERC20 | Withdrawal fee: 374.38349328
Symbol: RAD | Network: ERC20 | Withdrawal fee: 3.0232
Symbol: EPIK | Network: ERC20 | Withdrawal fee: 764.88597289
Symbol: EPIK | Network: HRC20 | Withdrawal fee: 4.44200352
Symbol: WHALE | Network: ERC20 | Withdrawal fee: 8.0784
Symbol: XPRT | Network: XPRT | Withdrawal fee: 0.1
Symbol: FTM | Network: FTM | Withdrawal fee: 0.1
Symbol: COTI | Network: COTI | Withdrawal fee: 20.0
Symbol: COTI | Network: ERC20 | Withdrawal fee: 72.96000465
Symbol: PUSH | Network: ERC20 | Withdrawal fee: 15.32793343
Symbol: TRIBE | Network: ERC20 | Withdrawal fee: 19.7501
Symbol: WOZX | Network: ERC20 | Withdrawal fee: 123.99848668
Symbol: TALK | Network: ERC20 | Withdrawal fee: 38.45372896
Symbol: EDEN | Network: ERC20 | Withdrawal fee: 77.71319461
Symbol: GALFT | Network: CRC20 | Withdrawal fee: 0.0
Symbol: IMX | Network: HRC20 | Withdrawal fee: 0.03041548
Symbol: IMX | Network: ERC20 | Withdrawal fee: 5.23831367
Symbol: ENS | Network: ERC20 | Withdrawal fee: 0.43174568
Symbol: EFI | Network: ERC20 | Withdrawal fee: 71.75465699
Symbol: TRACE | Network: ERC20 | Withdrawal fee: 201.49149558
Symbol: KT | Network: BEP20 | Withdrawal fee: 55.88472038
Symbol: ADT | Network: ERC20 | Withdrawal fee: 3226.36710147
Symbol: MGO | Network: ERC20 | Withdrawal fee: 2.0
Symbol: ABL | Network: ERC20 | Withdrawal fee: 150.0
Symbol: WGP | Network: WGP | Withdrawal fee: 0.5
Symbol: WGP | Network: ERC20 | Withdrawal fee: 22.39330459
Symbol: MVL | Network: ERC20 | Withdrawal fee: 2000.0
Symbol: MZK | Network: ERC20 | Withdrawal fee: 50.0
Symbol: 1SOL | Network: ERC20 | Withdrawal fee: 1006.17320898
Symbol: ABBC | Network: BEP20 | Withdrawal fee: 1.70772559
Symbol: ACA | Network: ACA | Withdrawal fee: 0.02
Symbol: ADP | Network: ERC20 | Withdrawal fee: 895.64890687
Symbol: AEGIS | Network: ERC20 | Withdrawal fee: 4136.6358359
Symbol: AGIX | Network: ERC20 | Withdrawal fee: 14.30414782
Symbol: AGLD | Network: ERC20 | Withdrawal fee: 9.44914648
Symbol: AIOZ | Network: ERC20 | Withdrawal fee: 200.87951892
Symbol: AKT | Network: AKT | Withdrawal fee: 0.01
Symbol: ALI | Network: ERC20 | Withdrawal fee: 185.46076817
Symbol: ALICE | Network: ERC20 | Withdrawal fee: 3.380623
Symbol: ANC | Network: TERRA | Withdrawal fee: 2.177
Symbol: ANML | Network: ERC20 | Withdrawal fee: 10408.30708701
Symbol: ANML | Network: MATIC | Withdrawal fee: 921.1053
Symbol: ANV | Network: ERC20 | Withdrawal fee: 132.3406096
Symbol: AOS | Network: BEP20 | Withdrawal fee: 0.48399351
Symbol: APE | Network: ERC20 | Withdrawal fee: 1.30739614
Symbol: AQT | Network: ERC20 | Withdrawal fee: 4.46289037
Symbol: ARB | Network: ARBITRUMONE | Withdrawal fee: 0.9228
Symbol: ARG | Network: CRC20 | Withdrawal fee: 0.0
Symbol: ARKN | Network: BEP20 | Withdrawal fee: 581.49429548
Symbol: ARV | Network: BEP20 | Withdrawal fee: 2331.93813091
Symbol: ASTR | Network: ASTR | Withdrawal fee: 4.0
Symbol: ATM | Network: CHZ20 | Withdrawal fee: 0.0
Symbol: ATS | Network: SOLANA | Withdrawal fee: 7.0
Symbol: AUDIO | Network: ERC20 | Withdrawal fee: 17.88117398
Symbol: AURORA | Network: ERC20 | Withdrawal fee: 28.76290306
Symbol: AURY | Network: AURY | Withdrawal fee: 0.1
Symbol: AZERO | Network: AZERO | Withdrawal fee: 0.01
Symbol: BABY | Network: ERC20 | Withdrawal fee: 332.74188069
Symbol: BABYDOGE | Network: BEP20 | Withdrawal fee: 799384407.5534714
Symbol: BBC | Network: BEP20 | Withdrawal fee: 9.95423946
Symbol: BBF | Network: ERC20 | Withdrawal fee: 30.94091618
Symbol: BERRY | Network: ERC20 | Withdrawal fee: 4775.93820783
Symbol: BICO | Network: ERC20 | Withdrawal fee: 14.43923738
Symbol: BIT | Network: ERC20 | Withdrawal fee: 10.91429859
Symbol: BITCI | Network: BITCI | Withdrawal fee: 0.005
Symbol: BLD | Network: BLD | Withdrawal fee: 0.0
Symbol: BLUR | Network: ERC20 | Withdrawal fee: 9.7619998
Symbol: BOBA | Network: ERC20 | Withdrawal fee: 24.79629101
Symbol: BONK | Network: SOLANA | Withdrawal fee: 775408.1006
Symbol: BOO | Network: FTM | Withdrawal fee: 0.04
Symbol: BORING | Network: ERC20 | Withdrawal fee: 2085.93801335
Symbol: BOSON | Network: ERC20 | Withdrawal fee: 25.2739814
Symbol: BP | Network: ERC20 | Withdrawal fee: 1388.41160047
Symbol: BREED | Network: ERC20 | Withdrawal fee: 156.30483268
Symbol: BRISE | Network: BRISE | Withdrawal fee: 0.001
Symbol: BRL | Network: BRL | Withdrawal fee: 999.0
Symbol: BRT | Network: BEP20 | Withdrawal fee: 100.53086157
Symbol: BRWL | Network: ERC20 | Withdrawal fee: 2351.3791
Symbol: BULL | Network: MATIC | Withdrawal fee: 0.3
Symbol: BWO | Network: MATIC | Withdrawal fee: 0.0885
Symbol: BXEN | Network: BEP20 | Withdrawal fee: 4201463.38446667
Symbol: C98 | Network: ERC20 | Withdrawal fee: 21.45405318
Symbol: CAKE | Network: BEP20 | Withdrawal fee: 0.04313539
Symbol: CAW | Network: ERC20 | Withdrawal fee: 55088149.9458309
Symbol: CEEK | Network: BEP20 | Withdrawal fee: 1.90162502
Symbol: CEL | Network: ERC20 | Withdrawal fee: 16.6574
Symbol: CELO | Network: CELO | Withdrawal fee: 0.002
Symbol: CERE | Network: ERC20 | Withdrawal fee: 1048.74395666
Symbol: CHSB | Network: ERC20 | Withdrawal fee: 46.59613924
Symbol: COL | Network: BEP20 | Withdrawal fee: 0.3000332
Symbol: CORE | Network: CORE | Withdrawal fee: 0.04
Symbol: CRPT | Network: ERC20 | Withdrawal fee: 63.30175512
Symbol: CRTS | Network: ERC20 | Withdrawal fee: 22775.12471016
Symbol: CTC | Network: ERC20 | Withdrawal fee: 18.65735723
Symbol: CTX | Network: ERC20 | Withdrawal fee: 3.04857598
Symbol: CUBE | Network: CUBE | Withdrawal fee: 0.0
Symbol: CUDOS | Network: ERC20 | Withdrawal fee: 2245.17672346
Symbol: CUSD | Network: CUSD | Withdrawal fee: 0.002
Symbol: CVX | Network: ERC20 | Withdrawal fee: 1.04416788
Symbol: DC | Network: ERC20 | Withdrawal fee: 4205.15328376
Symbol: DEP | Network: ERC20 | Withdrawal fee: 1756.03625769
Symbol: DEXE | Network: ERC20 | Withdrawal fee: 3.49410149
Symbol: DFI | Network: DFI | Withdrawal fee: 0.1
Symbol: DFX | Network: ERC20 | Withdrawal fee: 61.93503666
Symbol: DFX | Network: MATIC | Withdrawal fee: 0.1096
Symbol: DIA | Network: ERC20 | Withdrawal fee: 14.75318284
Symbol: DIE | Network: ERC20 | Withdrawal fee: 177517760.02303872
Symbol: DIO | Network: DIO | Withdrawal fee: 10.0
Symbol: DKS | Network: BEP20 | Withdrawal fee: 94.13295436
Symbol: DODO | Network: ERC20 | Withdrawal fee: 30.52563695
Symbol: DOG | Network: ERC20 | Withdrawal fee: 6203.49933521
Symbol: DORA | Network: ERC20 | Withdrawal fee: 1.72552774
Symbol: DOSE | Network: ERC20 | Withdrawal fee: 959.70210615
Symbol: DUSK | Network: ERC20 | Withdrawal fee: 31.83217661
Symbol: DYDX | Network: ERC20 | Withdrawal fee: 4.78687628
Symbol: DYP | Network: BEP20 | Withdrawal fee: 1.40310048
Symbol: DYP | Network: CCHAIN | Withdrawal fee: 5.3967
Symbol: DZOO | Network: ERC20DZOO | Withdrawal fee: 196.0
Symbol: EGAME | Network: ERC20 | Withdrawal fee: 52819.33136736
Symbol: EGLD | Network: EGLD | Withdrawal fee: 0.002
Symbol: EGS | Network: ERC20 | Withdrawal fee: 2956.76520115
Symbol: ELON | Network: ERC20 | Withdrawal fee: 17606204.55794588
Symbol: ELU | Network: SOLANA | Withdrawal fee: 85.9697
Symbol: ERG | Network: ERG | Withdrawal fee: 0.1
Symbol: ERN | Network: ERC20 | Withdrawal fee: 2.11054003
Symbol: ERTHA | Network: BEP20 | Withdrawal fee: 20.0
Symbol: ETHF | Network: ETHFAIR | Withdrawal fee: 0.002
Symbol: ETHW | Network: ETHW | Withdrawal fee: 0.002
Symbol: EUL | Network: ERC20 | Withdrawal fee: 1.62243671
Symbol: EUROC | Network: ERC20 | Withdrawal fee: 10.874774
Symbol: EURT | Network: ERC20 | Withdrawal fee: 5.174177
Symbol: EVER | Network: ERC20 | Withdrawal fee: 86.36462395
Symbol: EVMOS | Network: EVMOS | Withdrawal fee: 0.01
Symbol: FACE | Network: BSCFACE1 | Withdrawal fee: 5348138.90417706
Symbol: FACE | Network: TRC20 | Withdrawal fee: 19211493.4851
Symbol: FANC | Network: ERC20 | Withdrawal fee: 81.73115815
Symbol: FDT | Network: BEP20 | Withdrawal fee: 2.8237343
Symbol: FET | Network: ERC20 | Withdrawal fee: 16.3808079
Symbol: FIO | Network: FIO | Withdrawal fee: 3.0
Symbol: FITFI | Network: C-CHAIN | Withdrawal fee: 49.4062
Symbol: FITFI | Network: STEP | Withdrawal fee: 0.0003
Symbol: FIU | Network: BEP20 | Withdrawal fee: 71.24277679
Symbol: FLOKI | Network: BEP20 | Withdrawal fee: 7536.66773564
Symbol: FLOKI | Network: ERC20 | Withdrawal fee: 237667.81506909
Symbol: FLR | Network: FLR | Withdrawal fee: 0.3
Symbol: FLZ | Network: ERC20 | Withdrawal fee: 1.75899024
Symbol: FOTA | Network: BEP20 | Withdrawal fee: 9.8940849
Symbol: FOX | Network: ERC20 | Withdrawal fee: 138.87040783
Symbol: FUD | Network: TRC20 | Withdrawal fee: 0.0499
Symbol: FUSE | Network: ERC20 | Withdrawal fee: 75.14926856
Symbol: FX | Network: ERC20 | Withdrawal fee: 27.65069681
Symbol: GAL | Network: ERC20 | Withdrawal fee: 2.84221254
Symbol: GALA | Network: ERC20 | Withdrawal fee: 138.33232511
Symbol: GARI | Network: SOLANA | Withdrawal fee: 5.0
Symbol: GCOIN | Network: MATIC | Withdrawal fee: 1.0
Symbol: GEAR | Network: BEP20 | Withdrawal fee: 170.97223018
Symbol: GEARBOX | Network: ERC20 | Withdrawal fee: 453.840351
Symbol: GF | Network: ERC20 | Withdrawal fee: 68.538243
Symbol: GFT | Network: BEP20 | Withdrawal fee: 4.94102625
Symbol: GLMR | Network: GLMR | Withdrawal fee: 0.5
Symbol: GMEE | Network: ERC20 | Withdrawal fee: 456.21485908
Symbol: GMPD | Network: BEP20 | Withdrawal fee: 18.18
Symbol: GMT | Network: SOLANA | Withdrawal fee: 1.3452
Symbol: GMX | Network: ARBITRUM | Withdrawal fee: 0.02513186
Symbol: GMX | Network: CCHAINERC20 | Withdrawal fee: 0.007
Symbol: GNO | Network: ERC20 | Withdrawal fee: 0.05109043
Symbol: GNS | Network: ARBITRUMONE | Withdrawal fee: 0.1
Symbol: GNS | Network: MATIC | Withdrawal fee: 0.0014
Symbol: GODS | Network: ERC20 | Withdrawal fee: 25.3884869
Symbol: GPT | Network: ERC20 | Withdrawal fee: 79.68154506
Symbol: GQ | Network: BEP20 | Withdrawal fee: 27.88688512
Symbol: GRAIL | Network: ARBITRUM | Withdrawal fee: 0.0005
Symbol: GRV | Network: BEP20 | Withdrawal fee: 0.24639716
Symbol: GRV | Network: GRV | Withdrawal fee: 6.48899964
Symbol: GST | Network: SOLANA | Withdrawal fee: 24.1191
Symbol: GSTERC | Network: ERC20 | Withdrawal fee: 2.50018792
Symbol: H2O | Network: BEP20 | Withdrawal fee: 1.64885641
Symbol: HAO | Network: ERC20 | Withdrawal fee: 1231.73757961
Symbol: HBB | Network: SOLANA | Withdrawal fee: 1.0
Symbol: HEC | Network: C-CHAIN | Withdrawal fee: 0.1
Symbol: HFT | Network: ERC20 | Withdrawal fee: 9.31375425
Symbol: HOLO | Network: ERC20 | Withdrawal fee: 2808.99302667
Symbol: HOOP | Network: BEP20 | Withdrawal fee: 52.24727702
Symbol: HOTCROSS | Network: BEP20 | Withdrawal fee: 36.29022996
Symbol: HOTCROSS | Network: ERC20 | Withdrawal fee: 1142.91127815
Symbol: HSF | Network: ERC20 | Withdrawal fee: 8.31855832
Symbol: HTR | Network: ERC20 | Withdrawal fee: 1743.85920765
Symbol: HUNT | Network: ERC20 | Withdrawal fee: 14.36450738
Symbol: HYPE | Network: BEP20 | Withdrawal fee: 164.37366109
Symbol: IDEX | Network: ERC20 | Withdrawal fee: 102.34504483
Symbol: IGU | Network: BEP20 | Withdrawal fee: 2.57256671
Symbol: IMGNAI | Network: ERC20 | Withdrawal fee: 381.0212579
Symbol: INDI | Network: ERC20 | Withdrawal fee: 51.98186832
Symbol: ING | Network: BEP20 | Withdrawal fee: 181.25335493
Symbol: INR | Network: BEP20 | Withdrawal fee: 3.15502061
Symbol: INV | Network: ERC20 | Withdrawal fee: 0.13413054
Symbol: IOI | Network: ERC20 | Withdrawal fee: 55.924285
Symbol: IPV | Network: KIP7 | Withdrawal fee: 0.5778
Symbol: ITA | Network: CRC20 | Withdrawal fee: 0.0
Symbol: JASMY | Network: ERC20 | Withdrawal fee: 934.30043837
Symbol: JOE | Network: CCHAINERC20 | Withdrawal fee: 0.8937
Symbol: JOY | Network: KIP7 | Withdrawal fee: 0.0451
Symbol: JUMBO | Network: NEAR | Withdrawal fee: 0.5
Symbol: JUV | Network: CHZ20 | Withdrawal fee: 0.0
Symbol: KAI | Network: BEP20 | Withdrawal fee: 27.58883473
Symbol: KCAL | Network: STEP | Withdrawal fee: 0.0003
Symbol: KCT | Network: ERC20 | Withdrawal fee: 110.61866709
Symbol: KICKS | Network: BEP20 | Withdrawal fee: 118.35493976
Symbol: KLV | Network: TRC20 | Withdrawal fee: 68.199
Symbol: KMA | Network: KMA | Withdrawal fee: 1.0
Symbol: KOI | Network: ERC20 | Withdrawal fee: 3174.54918582
Symbol: KOK | Network: ERC20 | Withdrawal fee: 74.0480746
Symbol: KRIPTO | Network: BITCI | Withdrawal fee: 0.02
Symbol: KRRX | Network: TRC20 | Withdrawal fee: 2.933
Symbol: KUBE | Network: CARDANO | Withdrawal fee: 100.0
Symbol: LBL | Network: BEP20 | Withdrawal fee: 36.66489863
Symbol: LBL | Network: ERC20 | Withdrawal fee: 1427.38639806
Symbol: LBP | Network: ERC20 | Withdrawal fee: 12034.00508534
Symbol: LDO | Network: ERC20 | Withdrawal fee: 3.69549155
Symbol: LIKE | Network: SOLANA | Withdrawal fee: 97.2663
Symbol: LITH | Network: ERC20 | Withdrawal fee: 6887.22785787
Symbol: LMR | Network: ERC20 | Withdrawal fee: 697.14046979
Symbol: LN | Network: LINK | Withdrawal fee: 0.001
Symbol: LOKA | Network: ERC20 | Withdrawal fee: 10.91740848
Symbol: LOOKS | Network: ERC20 | Withdrawal fee: 39.59050165
Symbol: LOOT | Network: ERC20 | Withdrawal fee: 18.33002685
Symbol: LOVE | Network: ERC20 | Withdrawal fee: 6100.35398741
Symbol: LOVELY | Network: ERC20 | Withdrawal fee: 81157241.66878983
Symbol: LOVELY | Network: BEP20 | Withdrawal fee: 2594833.46958792
Symbol: LPT | Network: ERC20 | Withdrawal fee: 0.84680568
Symbol: LQTY | Network: ERC20 | Withdrawal fee: 2.63027765
Symbol: LUNA | Network: LUNA | Withdrawal fee: 0.02
Symbol: LUNR | Network: ERC20 | Withdrawal fee: 41.8154
Symbol: MAGIC | Network: ARBITRUM | Withdrawal fee: 2.0
Symbol: MATCH | Network: ERC20 | Withdrawal fee: 142949.23577166
Symbol: MBL | Network: MBL | Withdrawal fee: 13.0
Symbol: MBOX | Network: BEP20 | Withdrawal fee: 0.36517476
Symbol: MBX | Network: KIP7 | Withdrawal fee: 0.0011
Symbol: MC | Network: ERC20 | Withdrawal fee: 18.81792439
Symbol: MCG | Network: ERC20 | Withdrawal fee: 79.90153187
Symbol: MCONTENT | Network: BEP20 | Withdrawal fee: 5781146418.749354
Symbol: MCRT | Network: BEP20 | Withdrawal fee: 52.61785746
Symbol: MEDAMON | Network: BEP20 | Withdrawal fee: 72.18543117
Symbol: MESA | Network: ERC20 | Withdrawal fee: 2000.17562736
Symbol: METIS | Network: ERC20 | Withdrawal fee: 0.19289893
Symbol: MEV | Network: ERC20 | Withdrawal fee: 632.31939293
Symbol: MGG | Network: ERC20 | Withdrawal fee: 1596.70016536
Symbol: MINE | Network: BEP20 | Withdrawal fee: 84.43730029
Symbol: MLK | Network: LUK | Withdrawal fee: 0.5
Symbol: MMF | Network: MATIC | Withdrawal fee: 1.5442
Symbol: MONO | Network: ERC20 | Withdrawal fee: 120.10325057
Symbol: MOOV | Network: ERC20 | Withdrawal fee: 849.91564283
Symbol: MOVEZ | Network: BEP20 | Withdrawal fee: 101.48768617
Symbol: MOVR | Network: MOVR | Withdrawal fee: 0.01
Symbol: MPL | Network: ERC20 | Withdrawal fee: 1.08616736
Symbol: MPLX | Network: SOLANA | Withdrawal fee: 14.8406
Symbol: MRS | Network: BEP20 | Withdrawal fee: 0.11421064
Symbol: MTA | Network: HRC20 | Withdrawal fee: 1.07821628
Symbol: MTA | Network: ERC20 | Withdrawal fee: 111.08092056
Symbol: MU | Network: BEP20 | Withdrawal fee: 1040.02848792
Symbol: MUDOL2 | Network: BEP20 | Withdrawal fee: 3.70032748
Symbol: MULTI | Network: ERC20 | Withdrawal fee: 0.58193873
Symbol: NCT | Network: ERC20 | Withdrawal fee: 559.63232208
Symbol: NGL | Network: ERC20 | Withdrawal fee: 24.93394385
Symbol: NODL | Network: NODL | Withdrawal fee: 0.1
Symbol: NOIA | Network: ERC20 | Withdrawal fee: 118.68020387
Symbol: NPT | Network: KIP7 | Withdrawal fee: 0.0025
Symbol: NT | Network: BEP20 | Withdrawal fee: 162.46204728
Symbol: NT | Network: NT | Withdrawal fee: 27.96972029
Symbol: NUM | Network: ERC20 | Withdrawal fee: 116.92660237
Symbol: NYM | Network: ERC20 | Withdrawal fee: 24.670832
Symbol: OAS | Network: OAS | Withdrawal fee: 0.001
Symbol: OCEAN | Network: ERC20 | Withdrawal fee: 17.66691635
Symbol: OCT | Network: NEAR | Withdrawal fee: 1.5
Symbol: OG | Network: CHZ20 | Withdrawal fee: 0.0
Symbol: OGV | Network: ERC20 | Withdrawal fee: 677.99053909
Symbol: OKB | Network: ERC20 | Withdrawal fee: 0.5
Symbol: OLAND | Network: BEP20 | Withdrawal fee: 34.14955006
Symbol: ONIT | Network: ERC20 | Withdrawal fee: 135.24331061
Symbol: ONSTON | Network: ERC20 | Withdrawal fee: 699.33230948
Symbol: OP | Network: OP | Withdrawal fee: 1.5
Symbol: OPUL | Network: ALGO | Withdrawal fee: 1.36
Symbol: OPUL | Network: ERC20 | Withdrawal fee: 29.05244631
Symbol: ORB | Network: ERC20 | Withdrawal fee: 77.86928017
Symbol: ORB | Network: MATIC | Withdrawal fee: 0.1378
Symbol: ORBR | Network: ERC20 | Withdrawal fee: 2.58153879
